experiment_id,campaign_partition,target_sbox,target_sbox_index,key_id,session_id,fault_model,timing_offset_samples,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance
19720,attack,S0,0,22,5,random_and_4,0.63735625323935,1.893446205765708,1.049012584146772,1,4.643611933222424,1627f97dba487783,c4bc36aa49eaa4cc,True,c4bc36aa49eaa3cc,False,3
19722,attack,S5,5,23,4,random_and_4,-0.5172115264431603,1.0292128486446497,0.8760337091161361,1,4.536570416374833,b97accec10007703,3c8bd584a8c7fff0,True,3c8bd584a8c7fff0,True,0
19723,attack,S5,5,22,4,random_and_4,-0.4499516711895333,2.445047814376089,0.7425985137417916,1,1.6959278391728243,5f17442bb66fa321,32660554bf7039da,True,32660554bf7739da,False,3
19724,attack,S0,0,23,1,random_and_4,8.90991742159264,3.4612378471178,0.7463052447458813,1,2.02133597182592,ee9b43590924ca4d,0b9eda57d693bc42,True,0b9eda57d693bc44,False,2
19725,attack,S0,0,23,1,random_and_4,-2.207318409309569,1.8243585223260772,0.7133530814511206,2,1.578136915727609,63fc3ca734b80228,2e772905a67416e9,True,2e772905a67411e9,False,3
19726,attack,S0,0,23,3,random_and_4,-0.2193929432119494,3.8655740542810753,0.5209699240984571,1,5.968321980593335,4b7f9cb7b1e55528,fb957d48338625bc,True,fb957d48338625bc,True,0
19728,attack,S5,5,23,7,random_and_4,-1.4199475463601166,2.5751339211478386,0.5452284055500604,1,4.4405873689385365,f5612b144819b292,9eab39d38cbba31f,True,9eab39d38cbba31f,True,0
19730,attack,S5,5,22,6,random_and_4,2.724866958351121,1.529651106628528,0.5440994778253019,1,1.7695364225927084,535b702089ffca93,f4cf1d2807d8c41b,True,f4cf1d2807d8c41b,True,0
19731,attack,S5,5,23,4,random_and_4,2.5970269649974256,0.9091793642998364,0.7663346932890195,2,5.915247056292382,4b383255d52b21fb,8feee24e323d28e7,True,8feee24e173d28e7,False,3
19746,attack,S0,0,22,6,random_and_4,-1.3252309618315357,2.695597794809956,0.6731794004647822,1,3.1342302939530144,a4cfdf841f42bbbe,b7f9b6f671c51433,True,b7f9b6f671c51133,False,2
19749,attack,S5,5,23,7,random_and_4,-2.755166290942246,3.4855416606828222,0.7680746017520929,1,4.420421924536763,67069aacf87f1f7c,27ef94565c5e1244,True,27ef94565c5e1244,True,0
