pipeline,attack_type,key_id,target_sbox,target_sbox_index,injection_checkpoint,key_guess,key_guess_hex,sample_count,sei,chi,llr_known_model
sefa_random_raw,SEFA,0,S0,0,1500,5,5,571,0.0013968718658082873,12.761821366024513,-inf
sefa_random_raw,SEFA,0,S0,0,1500,6,6,571,0.0009858806101073175,9.007005253940452,-inf
sefa_random_raw,SEFA,0,S0,0,1500,7,7,571,0.00101041740149245,9.231173380035022,-inf
sefa_random_raw,SEFA,0,S0,0,1500,8,8,571,0.0009858806101073173,9.00700525394045,-inf
sefa_random_raw,SEFA,0,S0,0,1500,9,9,571,0.0018692050999720889,17.077057793345002,-inf
sefa_random_raw,SEFA,0,S0,0,1500,10,a,571,0.0008938676424130705,8.166374781085812,-inf
sefa_random_raw,SEFA,0,S0,0,1500,11,b,571,0.000550352563021215,5.02802101576182,-inf
sefa_random_raw,SEFA,0,S0,0,1500,12,c,571,0.0020470968375143,18.702276707530647,-inf
sefa_random_raw,SEFA,0,S0,0,1500,13,d,571,0.0007098417070245764,6.48511383537653,-inf
sefa_random_raw,SEFA,0,S0,0,1500,14,e,571,0.0013293956894991732,12.145359019264447,-inf
sefa_random_raw,SEFA,0,S0,0,1500,15,f,571,0.0009552096208759015,8.726795096322236,-inf
sefa_random_raw,SEFA,0,S0,0,2000,0,0,766,0.0009812426289633172,12.026109660574416,-inf
sefa_random_raw,SEFA,0,S0,0,2000,1,1,766,0.0012334769478283994,15.117493472584863,-inf
sefa_random_raw,SEFA,0,S0,0,2000,2,2,766,0.0015743341354839146,19.295039164490856,-inf
sefa_random_raw,SEFA,0,S0,0,2000,3,3,766,0.001512979841705922,18.54308093994778,-inf
sefa_random_raw,SEFA,0,S0,0,2000,4,4,766,0.0014959369823231464,18.334203655352482,-inf
sefa_random_raw,SEFA,0,S0,0,2000,5,5,766,0.0010937255008896375,13.404699738903398,-inf
sefa_random_raw,SEFA,0,S0,0,2000,6,6,766,0.001086908357136527,13.321148825065276,-inf
sefa_random_raw,SEFA,0,S0,0,2000,7,7,766,0.0006131168662953597,7.514360313315929,-inf
sefa_random_raw,SEFA,0,S0,0,2000,8,8,766,0.0008108140351355589,9.93733681462141,-inf
sefa_random_raw,SEFA,0,S0,0,2000,9,9,766,0.001966319901287758,24.099216710182766,-inf
sefa_random_raw,SEFA,0,S0,0,2000,10,a,766,0.0012709712384705058,15.577023498694519,-inf
sefa_random_raw,SEFA,0,S0,0,2000,11,b,766,0.0007801368882465627,9.561357702349873,-inf
sefa_random_raw,SEFA,0,S0,0,2000,12,c,766,0.00135959410726094,16.66318537859008,-inf
sefa_random_raw,SEFA,0,S0,0,2000,13,d,766,0.0005858482912829181,7.180156657963444,-inf
sefa_random_raw,SEFA,0,S0,0,2000,14,e,766,0.0010391883508647551,12.736292428198439,-inf
sefa_random_raw,SEFA,0,S0,0,2000,15,f,766,0.000981242628963317,12.026109660574413,-inf
sefa_random_raw,SEFA,0,S0,0,3000,0,0,1180,0.000474719908072393,8.96271186440678,-inf
sefa_random_raw,SEFA,0,S0,0,3000,1,1,1180,0.0007806664751508188,14.738983050847459,-inf
sefa_random_raw,SEFA,0,S0,0,3000,2,2,1180,0.0006887388681413389,13.003389830508478,-inf
sefa_random_raw,SEFA,0,S0,0,3000,3,3,1180,0.0007619936799770182,14.386440677966105,-inf
sefa_random_raw,SEFA,0,S0,0,3000,4,4,1180,0.0007864119505889113,14.847457627118645,-inf
sefa_random_raw,SEFA,0,S0,0,3000,5,5,1180,0.0008093938523412814,15.281355932203391,-inf
sefa_random_raw,SEFA,0,S0,0,3000,6,6,1180,0.0009099396725079002,17.179661016949154,-inf
sefa_random_raw,SEFA,0,S0,0,3000,7,7,1180,0.0007232117207698939,13.654237288135597,-inf
sefa_random_raw,SEFA,0,S0,0,3000,8,8,1180,0.0007763573685722493,14.657627118644067,-inf
sefa_random_raw,SEFA,0,S0,0,3000,9,9,1180,0.0014083596667624242,26.58983050847457,-inf
sefa_random_raw,SEFA,0,S0,0,3000,10,a,1180,0.001348032174662453,25.450847457627113,-inf
sefa_random_raw,SEFA,0,S0,0,3000,11,b,1180,0.000644211433496122,12.162711864406784,-inf
sefa_random_raw,SEFA,0,S0,0,3000,12,c,1180,0.0010291582878483195,19.43050847457627,-inf
