pipeline,attack_type,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,sample_count,sei,chi,llr_known_model
sefa_random_raw,SEFA,1,S5,5,6,6,3657,0.000416934637659475,24.395679518731203,-inf
sefa_random_raw,SEFA,1,S5,5,7,7,3657,0.0003912124133061965,22.89062072737217,-inf
sefa_random_raw,SEFA,1,S5,5,8,8,3657,0.00025392751821137207,14.857806945583803,-inf
sefa_random_raw,SEFA,1,S5,5,9,9,3657,0.00016016103757471122,9.371342630571503,-inf
sefa_random_raw,SEFA,1,S5,5,10,a,3657,0.0002480951533870825,14.51654361498497,-inf
sefa_random_raw,SEFA,1,S5,5,11,b,3657,0.00023014941546619025,13.466502597757724,-inf
sefa_random_raw,SEFA,1,S5,5,12,c,3657,0.00037236938848925975,21.788077659283566,-inf
sefa_random_raw,SEFA,1,S5,5,13,d,3657,0.0004137941335233189,24.211922340716438,-inf
sefa_random_raw,SEFA,1,S5,5,14,e,3657,0.0004532747569492815,26.52201257861636,-inf
sefa_random_raw,SEFA,1,S5,5,15,f,3657,0.00035995691976064263,21.06179928903472,-inf
sefa_random_threshold,SEFA,0,S0,0,0,0,316,0.0027139080275596856,13.72151898734177,-inf
sefa_random_threshold,SEFA,0,S0,0,1,1,316,0.003194600224323025,16.151898734177216,-inf
sefa_random_threshold,SEFA,0,S0,0,2,2,316,0.0018726966832238424,9.468354430379748,-inf
sefa_random_threshold,SEFA,0,S0,0,3,3,316,0.0018927255247556483,9.569620253164558,-inf
sefa_random_threshold,SEFA,0,S0,0,4,4,316,0.003995753885595257,20.20253164556962,-inf
sefa_random_threshold,SEFA,0,S0,0,5,5,316,0.0018326390001602308,9.265822784810126,-inf
sefa_random_threshold,SEFA,0,S0,0,6,6,316,0.0017925813170966193,9.063291139240507,-inf
sefa_random_threshold,SEFA,0,S0,0,7,7,316,0.004576590290017625,23.13924050632911,-inf
sefa_random_threshold,SEFA,0,S0,0,8,8,316,0.0030343694920685785,15.341772151898732,-inf
sefa_random_threshold,SEFA,0,S0,0,9,9,316,0.0021531004646691233,10.886075949367088,-inf
sefa_random_threshold,SEFA,0,S0,0,10,a,316,0.0026137638199006576,13.215189873417724,-inf
sefa_random_threshold,SEFA,0,S0,0,11,b,316,0.0017725524755648125,8.962025316455692,-inf
sefa_random_threshold,SEFA,0,S0,0,12,c,316,0.0049571382791219355,25.063291139240505,-inf
sefa_random_threshold,SEFA,0,S0,0,13,d,316,0.003154542541259413,15.949367088607591,-inf
sefa_random_threshold,SEFA,0,S0,0,14,e,316,0.0030543983336003846,15.443037974683545,-inf
sefa_random_threshold,SEFA,0,S0,0,15,f,316,0.0037353789456817817,18.88607594936709,-inf
sefa_random_threshold,SEFA,0,S5,5,0,0,288,0.0031828703703703698,14.666666666666664,-inf
sefa_random_threshold,SEFA,0,S5,5,1,1,288,0.0026765046296296302,12.333333333333336,-inf
sefa_random_threshold,SEFA,0,S5,5,2,2,288,0.0038580246913580245,17.77777777777778,-inf
sefa_random_threshold,SEFA,0,S5,5,3,3,288,0.003038194444444445,14.000000000000002,-inf
sefa_random_threshold,SEFA,0,S5,5,4,4,288,0.004147376543209876,19.111111111111107,-inf
sefa_random_threshold,SEFA,0,S5,5,5,5,288,0.0038821373456790127,17.88888888888889,-inf
sefa_random_threshold,SEFA,0,S5,5,6,6,288,0.003520447530864197,16.22222222222222,-inf
sefa_random_threshold,SEFA,0,S5,5,7,7,288,0.003520447530864198,16.222222222222225,-inf
sefa_random_threshold,SEFA,0,S5,5,8,8,288,0.0015432098765432107,7.111111111111114,-inf
sefa_random_threshold,SEFA,0,S5,5,9,9,288,0.0037133487654320996,17.111111111111114,-inf
sefa_random_threshold,SEFA,0,S5,5,10,a,288,0.003134645061728395,14.444444444444445,-inf
sefa_random_threshold,SEFA,0,S5,5,11,b,288,0.004460841049382716,20.555555555555554,-inf
sefa_random_threshold,SEFA,0,S5,5,12,c,288,0.0027488425925925927,12.666666666666668,-inf
sefa_random_threshold,SEFA,0,S5,5,13,d,288,0.006438078703703704,29.666666666666668,-inf
sefa_random_threshold,SEFA,0,S5,5,14,e,288,0.0027729552469135813,12.777777777777782,-inf
sefa_random_threshold,SEFA,0,S5,5,15,f,288,0.0032069830246913584,14.777777777777779,-inf
sefa_random_threshold,SEFA,1,S0,0,0,0,285,0.0021229609110495536,9.680701754385964,-inf
sefa_random_threshold,SEFA,1,S0,0,1,1,285,0.001876731301939058,8.557894736842105,-inf
sefa_random_threshold,SEFA,1,S0,0,2,2,285,0.0022953216374269002,10.466666666666665,-inf
sefa_random_threshold,SEFA,1,S0,0,3,3,285,0.001728993536472761,7.8842105263157904,-inf
sefa_random_threshold,SEFA,1,S0,0,4,4,285,0.004068174823022469,18.55087719298246,-inf
sefa_random_threshold,SEFA,1,S0,0,5,5,285,0.0032063711911357344,14.621052631578948,-inf
sefa_random_threshold,SEFA,1,S0,0,6,6,285,0.001605878731917513,7.322807017543859,-inf
sefa_random_threshold,SEFA,1,S0,0,7,7,285,0.0023938134810710986,10.91578947368421,-inf
sefa_random_threshold,SEFA,1,S0,0,8,8,285,0.0034033548784241302,15.519298245614033,-inf
sefa_random_threshold,SEFA,1,S0,0,9,9,285,0.00394506001846722,17.989473684210523,-inf
sefa_random_threshold,SEFA,1,S0,0,10,a,285,0.002369190520160049,10.803508771929822,-inf
sefa_random_threshold,SEFA,1,S0,0,11,b,285,0.0025415512465373964,11.589473684210528,-inf
sefa_random_threshold,SEFA,1,S0,0,12,c,285,0.005447060634041243,24.83859649122807,-inf
sefa_random_threshold,SEFA,1,S0,0,13,d,285,0.003920437057556171,17.87719298245614,-inf
sefa_random_threshold,SEFA,1,S0,0,14,e,285,0.003895814096645121,17.764912280701754,-inf
sefa_random_threshold,SEFA,1,S0,0,15,f,285,0.004166666666666666,18.999999999999996,-inf
sefa_random_threshold,SEFA,1,S5,5,0,0,268,0.0051932501670750725,22.26865671641791,-inf
sefa_random_threshold,SEFA,1,S5,5,1,1,268,0.00399587881488082,17.134328358208958,-inf
sefa_random_threshold,SEFA,1,S5,5,2,2,268,0.002826353308086434,12.119402985074629,-inf
sefa_random_threshold,SEFA,1,S5,5,3,3,268,0.00452494987747828,19.402985074626862,-inf
sefa_random_threshold,SEFA,1,S5,5,4,4,268,0.004664179104477612,20.000000000000004,-inf
sefa_random_threshold,SEFA,1,S5,5,5,5,268,0.004413566495878814,18.925373134328357,-inf
sefa_random_threshold,SEFA,1,S5,5,6,6,268,0.008005680552461572,34.32835820895522,-inf
sefa_random_threshold,SEFA,1,S5,5,7,7,268,0.006251392292269994,26.805970149253735,-inf
sefa_random_threshold,SEFA,1,S5,5,8,8,268,0.0036338828246825577,15.582089552238807,-inf
sefa_random_threshold,SEFA,1,S5,5,9,9,268,0.003968032969480953,17.014925373134325,-inf
sefa_random_threshold,SEFA,1,S5,5,10,a,268,0.0048034083314769434,20.597014925373134,-inf
sefa_random_threshold,SEFA,1,S5,5,11,b,268,0.003773112051681889,16.17910447761194,-inf
sefa_random_threshold,SEFA,1,S5,5,12,c,268,0.003968032969480954,17.01492537313433,-inf
sefa_random_threshold,SEFA,1,S5,5,13,d,268,0.006362775673869458,27.283582089552237,-inf
sefa_random_threshold,SEFA,1,S5,5,14,e,268,0.006669079973267988,28.597014925373134,-inf
sefa_random_threshold,SEFA,1,S5,5,15,f,268,0.004692024949877478,20.119402985074625,-inf
sefa_random_budget,SEFA,0,S0,0,0,0,2100,0.00044693877551020415,15.01714285714286,-inf
sefa_random_budget,SEFA,0,S0,0,1,1,2100,0.0004673469387755103,15.702857142857146,-inf
sefa_random_budget,SEFA,0,S0,0,2,2,2100,0.0005349206349206348,17.97333333333333,-inf
sefa_random_budget,SEFA,0,S0,0,3,3,2100,0.0006768707482993196,22.74285714285714,-inf
sefa_random_budget,SEFA,0,S0,0,4,4,2100,0.0007630385487528346,25.638095238095243,-inf
sefa_random_budget,SEFA,0,S0,0,5,5,2100,0.00048185941043083906,16.190476190476193,-inf
sefa_random_budget,SEFA,0,S0,0,6,6,2100,0.00033446712018140586,11.238095238095237,-inf
