pipeline,attack_type,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,effective_sample_count,ineffective_sample_count,sei_effective_component,sei_ineffective_component,shfa_sei_joint,shfa_sei_joint_equivalent,alternative_sei_sum,alternative_sei_product
shfa_random_raw,SHFA,0,S0,0,0,0,3230,1917,0.00023270135820337574,0.0002156357647809228,2.80712489218604e-05,2.8071248921860405e-05,0.00044833712298429857,5.017873534174439e-08
shfa_random_raw,SHFA,0,S0,0,1,1,3230,1917,0.00019762002894688912,0.00019822027277558587,2.477919115369846e-05,2.477919115369846e-05,0.00039584030172247497,3.9172296043771536e-08
shfa_random_raw,SHFA,0,S0,0,2,2,3230,1917,0.0002741088288011962,0.00028747466930293666,3.517776797642095e-05,3.517776797642094e-05,0.0005615834981041329,7.879934491263916e-08
shfa_random_raw,SHFA,0,S0,0,3,3,3230,1917,0.00027391712754842846,0.0003239383556891108,3.7454699966239326e-05,3.745469996623932e-05,0.0005978554832375392,8.873226389312234e-08
shfa_random_raw,SHFA,0,S0,0,4,4,3230,1917,0.000325676465795704,0.000573197585015493,5.63663051393903e-05,5.6366305139390286e-05,0.000898874050811197,1.8667696369047833e-07
shfa_random_raw,SHFA,0,S0,0,5,5,3230,1917,0.0003095735605632182,0.0003277479945652779,3.9934059309176034e-05,3.9934059309176034e-05,0.0006373215551284961,1.0146211364502735e-07
shfa_random_raw,SHFA,0,S0,0,6,6,3230,1917,0.0002164067517181224,0.0005068010217451466,4.53101610043376e-05,4.53101610043376e-05,0.0007232077734632689,1.0967516288329268e-07
shfa_random_raw,SHFA,0,S0,0,7,7,3230,1917,0.00019033538134171716,0.0006717039616706789,5.4005307967968085e-05,5.4005307967968085e-05,0.000862039343012396,1.2784902969333085e-07
shfa_random_raw,SHFA,0,S0,0,8,8,3230,1917,0.00038414534788984867,0.00028475349867710287,4.1915564642246636e-05,4.1915564642246636e-05,0.0006688988465669515,1.0938673181216725e-07
shfa_random_raw,SHFA,0,S0,0,9,9,3230,1917,0.0003714930652071811,0.0004855758908636423,5.374719783051411e-05,5.374719783051411e-05,0.0008570689560708234,1.8038807608764213e-07
