pipeline,attack_type,key_id,target_sbox,target_sbox_index,injection_checkpoint,key_guess,key_guess_hex,effective_sample_count,ineffective_sample_count,sei_effective_component,sei_ineffective_component,shfa_sei_joint,shfa_sei_joint_equivalent,alternative_sei_sum,alternative_sei_product
shfa_random_raw,SHFA,0,S0,0,250,0,0,84,68,0.0052437641723356,0.01578719723183391,0.0013972194269864808,0.0013972194269864808,0.02103096140416951,8.278433922588642e-05
shfa_random_raw,SHFA,0,S0,0,250,1,1,84,68,0.0143140589569161,0.01578719723183391,0.002107307383737809,0.0021073073837378086,0.03010125618875001,0.00022597887194093322
shfa_random_raw,SHFA,0,S0,0,250,2,2,84,68,0.013180272108843536,0.013624567474048442,0.001854877980604006,0.0018548779806040062,0.026804839582891978,0.0001795755066732575
shfa_random_raw,SHFA,0,S0,0,250,3,3,84,68,0.02026643990929705,0.013624567474048443,0.002394309439462059,0.0023943094394620595,0.033891007383345495,0.00027612147800296587
shfa_random_raw,SHFA,0,S0,0,250,4,4,84,68,0.013180272108843536,0.014057093425605537,0.0018876116623119832,0.0018876116623119837,0.027237365534449075,0.0001852763164089165
shfa_random_raw,SHFA,0,S0,0,250,5,5,84,68,0.0063775510204081625,0.009299307958477509,0.0010391104971400323,0.0010391104971400325,0.015676858978885672,5.930681095967798e-05
shfa_random_raw,SHFA,0,S0,0,250,6,6,84,68,0.012329931972789115,0.014922145328719725,0.0018872438681354895,0.0018872438681354895,0.02725207730150884,0.00018398903679118708
shfa_random_raw,SHFA,0,S0,0,250,7,7,84,68,0.012896825396825396,0.009731833910034602,0.0015398009694073708,0.0015398009694073708,0.022628659306859998,0.00012550976272862084
shfa_random_raw,SHFA,0,S0,0,250,8,8,84,68,0.011479591836734693,0.02573529411764706,0.0026213610444177668,0.002621361044417767,0.03721488595438176,0.00029543067226890754
shfa_random_raw,SHFA,0,S0,0,250,9,9,84,68,0.01459750566893424,0.012326989619377164,0.0018627242563692141,0.0018627242563692143,0.026924495288311402,0.00017994330084975167
shfa_random_raw,SHFA,0,S0,0,250,10,a,84,68,0.009495464852607709,0.012759515570934257,0.0015120938081114796,0.0015120938081114798,0.022254980423541966,0.00012115753164010702
shfa_random_raw,SHFA,0,S0,0,250,11,b,84,68,0.009778911564625849,0.014489619377162631,0.001658475890356142,0.0016584758903561425,0.02426853094178848,0.00014169270649436245
shfa_random_raw,SHFA,0,S0,0,250,12,c,84,68,0.015164399092970519,0.01448961937716263,0.0020731025253238546,0.002073102525323855,0.02965401847013315,0.00021972637094053304
shfa_random_raw,SHFA,0,S0,0,250,13,d,84,68,0.010345804988662131,0.01448961937716263,0.001702120799300112,0.001702120799300112,0.02483542436582476,0.0001499067764360646
shfa_random_raw,SHFA,0,S0,0,250,14,e,84,68,0.008928571428571428,0.02054498269896194,0.0020255344784972807,0.0020255344784972816,0.02947355412753337,0.0001834373455264459
shfa_random_raw,SHFA,0,S0,0,250,15,f,84,68,0.011763038548752835,0.015354671280276816,0.0018754744544876775,0.0018754744544876773,0.02711770982902965,0.00018061759017332424
shfa_random_raw,SHFA,0,S0,0,500,0,0,183,131,0.004596658604317835,0.010747479750597285,0.0010084111424525097,0.0010084111424525097,0.01534413835491512,4.9402495270314715e-05
shfa_random_raw,SHFA,0,S0,0,500,1,1,183,131,0.008538251366120218,0.006435376726298001,0.0009907986199009506,0.0009907986199009509,0.014973628092418218,5.4946864124812164e-05
shfa_random_raw,SHFA,0,S0,0,500,2,2,183,131,0.006627176087670578,0.006085746751354816,0.0008348889927852847,0.0008348889927852846,0.012712922839025394,4.033131534619754e-05
shfa_random_raw,SHFA,0,S0,0,500,3,3,183,131,0.007343829317089193,0.004337596876638892,0.0007619437082163805,0.0007619437082163805,0.011681426193728084,3.185457110837521e-05
shfa_random_raw,SHFA,0,S0,0,500,4,4,183,131,0.008777135775926424,0.004104510226676767,0.0008411287187159199,0.00084112871871592,0.012881646002603192,3.602584355322053e-05
shfa_random_raw,SHFA,0,S0,0,500,5,5,183,131,0.007821598136701604,0.00818352660101393,0.0010643285525213594,0.0010643285525213594,0.016005124737715534,6.400825641413857e-05
shfa_random_raw,SHFA,0,S0,0,500,6,6,183,131,0.004954985219027144,0.007717353301089681,0.0008302605290442113,0.0008302605290442112,0.012672338520116825,3.82393715369097e-05
shfa_random_raw,SHFA,0,S0,0,500,7,7,183,131,0.005014706321478693,0.00911587320086242,0.0009288746471124825,0.0009288746471124826,0.014130579522341114,4.571342696616299e-05
shfa_random_raw,SHFA,0,S0,0,500,8,8,183,131,0.0076424348293469505,0.012029456325388963,0.001321427533170255,0.0013214275331702554,0.019671891154735915,9.193433599926059e-05
shfa_random_raw,SHFA,0,S0,0,500,9,9,183,131,0.005313311833736451,0.00561957345143057,0.0007131638764429761,0.0007131638764429761,0.010932885285167022,2.9858546120037238e-05
shfa_random_raw,SHFA,0,S0,0,500,10,a,183,131,0.003461957657738362,0.007717353301089681,0.0007254240852849324,0.0007254240852849326,0.011179310958828043,2.6717150358179847e-05
shfa_random_raw,SHFA,0,S0,0,500,11,b,183,131,0.003103631043029054,0.01098056640055941,0.0009143419669750968,0.000914341966975097,0.014084197443588464,3.407962675081799e-05
shfa_random_raw,SHFA,0,S0,0,500,12,c,183,131,0.0075229926244438465,0.00841661325097605,0.001059543486623633,0.001059543486623633,0.0159396058754199,6.331811940988917e-05
