pipeline,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,sample_count,sei,chi
random_raw,0,S0,0,0,0,713,0.0018095861470703366,20.6437587657784
random_raw,0,S0,0,1,1,713,0.0009362048039908018,10.680224403927067
random_raw,0,S0,0,2,2,713,0.001416171127665141,16.155680224403927
random_raw,0,S0,0,3,3,713,0.0030016336558680795,34.24263674614305
random_raw,0,S0,0,4,4,713,0.0017309031431892974,19.746143057503506
random_raw,0,S0,0,5,5,713,0.0019158082023097395,21.855539971949508
random_raw,0,S0,0,6,6,713,0.0017269689929952454,19.70126227208976
random_raw,0,S0,0,7,7,713,0.0009519414047670097,10.859747545582048
random_raw,0,S0,0,8,8,713,0.0016797591906666219,19.162692847124823
random_raw,0,S0,0,9,9,713,0.0014987882817402319,17.098176718092564
random_raw,0,S0,0,10,a,713,0.0007198265433179443,8.211781206171109
random_raw,0,S0,0,11,b,713,0.0010345585588421007,11.802244039270684
random_raw,0,S0,0,12,c,713,0.0012824100210673743,14.629733520336606
random_raw,0,S0,0,13,d,713,0.0012588051199030623,14.360448807854135
random_raw,0,S0,0,14,e,713,0.0015538663844569594,17.726507713884992
random_raw,0,S0,0,15,f,713,0.001589273736203427,18.130434782608695
random_raw,0,S5,5,0,0,608,0.0031542157202216073,30.684210526315795
random_raw,0,S5,5,1,1,608,0.0012010907202216069,11.684210526315791
random_raw,0,S5,5,2,2,608,0.0010874740304709142,10.578947368421053
random_raw,0,S5,5,3,3,608,0.001644736842105263,16.0
random_raw,0,S5,5,4,4,608,0.0013634002770083102,13.263157894736842
random_raw,0,S5,5,5,5,608,0.0017042503462603878,16.57894736842105
random_raw,0,S5,5,6,6,608,0.0020667416897506927,20.10526315789474
random_raw,0,S5,5,7,7,608,0.0014499653739612189,14.105263157894736
random_raw,0,S5,5,8,8,608,0.0012389629501385047,12.052631578947373
random_raw,0,S5,5,9,9,608,0.0016014542936288092,15.578947368421055
random_raw,0,S5,5,10,a,608,0.0014337344182825482,13.94736842105263
random_raw,0,S5,5,11,b,608,0.0014553756925207758,14.157894736842108
random_raw,0,S5,5,12,c,608,0.00106042243767313,10.315789473684209
random_raw,0,S5,5,13,d,608,0.0007033414127423822,6.842105263157894
random_raw,0,S5,5,14,e,608,0.0014391447368421054,14.000000000000002
random_raw,0,S5,5,15,f,608,0.0018611495844875346,18.105263157894736
random_raw,1,S0,0,0,0,769,0.0006272606749515101,7.71781534460338
random_raw,1,S0,0,1,1,769,0.001134565011896287,13.959687906371915
random_raw,1,S0,0,2,2,769,0.0012495539949371028,15.374512353706113
random_raw,1,S0,0,3,3,769,0.00148967804775763,18.32899869960988
random_raw,1,S0,0,4,4,769,0.0010567783468980873,13.002600780234065
random_raw,1,S0,0,5,5,769,0.0007523957447312219,9.257477243172954
random_raw,1,S0,0,6,6,769,0.001063542404724018,13.085825747724318
random_raw,1,S0,0,7,7,769,0.0009417893638572715,11.58777633289987
random_raw,1,S0,0,8,8,769,0.0008775308145109335,10.797139141742525
random_raw,1,S0,0,9,9,769,0.001317194573196406,16.20676202860858
random_raw,1,S0,0,10,a,769,0.0019259597775301382,23.69700910273082
random_raw,1,S0,0,11,b,769,0.0017568583318818796,21.616384915474647
random_raw,1,S0,0,12,c,769,0.0009417893638572717,11.587776332899871
random_raw,1,S0,0,13,d,769,0.0011616212432000081,14.2925877763329
random_raw,1,S0,0,14,e,769,0.0012664641395019286,15.582574772431729
random_raw,1,S0,0,15,f,769,0.0016181951464503063,19.91027308192457
random_raw,1,S5,5,0,0,594,0.0007758562051491346,7.373737373737375
random_raw,1,S5,5,1,1,594,0.001376701923839971,13.084175084175085
random_raw,1,S5,5,2,2,594,0.0019888843542042196,18.902356902356903
random_raw,1,S5,5,3,3,594,0.0007588511376390166,7.212121212121214
random_raw,1,S5,5,4,4,594,0.0013993753471867954,13.299663299663303
random_raw,1,S5,5,5,5,594,0.0013993753471867952,13.299663299663301
random_raw,1,S5,5,6,6,594,0.0018018286115929214,17.124579124579125
random_raw,1,S5,5,7,7,594,0.0009855853711072564,9.367003367003365
random_raw,1,S5,5,8,8,594,0.0017451450532258617,16.58585858585859
random_raw,1,S5,5,9,9,594,0.0012236563162489093,11.629629629629633
