pipeline,key_id,K32_0_guess,K32_5_guess,joint_guess_hex,joint_sei
random_raw,0,7,8,78,0.0021909043549055143
random_raw,0,7,9,79,0.002553395698395819
random_raw,0,7,10,7a,0.002385675823049558
random_raw,0,7,11,7b,0.0024073170972877854
random_raw,0,7,12,7c,0.00201236384244014
random_raw,0,7,13,7d,0.0016552828175093919
random_raw,0,7,14,7e,0.0023910861416091152
random_raw,0,7,15,7f,0.0028130909892545445
random_raw,0,8,0,80,0.004833974910888229
random_raw,0,8,1,81,0.002880849910888229
random_raw,0,8,2,82,0.0027672332211375363
random_raw,0,8,3,83,0.0033244960327718847
random_raw,0,8,4,84,0.003043159467674932
random_raw,0,8,5,85,0.0033840095369270097
random_raw,0,8,6,86,0.0037465008804173144
random_raw,0,8,7,87,0.0031297245646278405
random_raw,0,8,8,88,0.0029187221408051266
random_raw,0,8,9,89,0.003281213484295431
random_raw,0,8,10,8a,0.00311349360894917
random_raw,0,8,11,8b,0.0031351348831873977
random_raw,0,8,12,8c,0.002740181628339752
random_raw,0,8,13,8d,0.002383100603409004
random_raw,0,8,14,8e,0.003118903927508727
random_raw,0,8,15,8f,0.0035409087751541567
random_raw,0,9,0,90,0.004653004001961839
random_raw,0,9,1,91,0.0026998790019618388
random_raw,0,9,2,92,0.002586262312211146
random_raw,0,9,3,93,0.003143525123845495
random_raw,0,9,4,94,0.002862188558748542
random_raw,0,9,5,95,0.0032030386280006195
random_raw,0,9,6,96,0.0035655299714909246
random_raw,0,9,7,97,0.0029487536557014507
random_raw,0,9,8,98,0.0027377512318787368
random_raw,0,9,9,99,0.003100242575369041
random_raw,0,9,10,9a,0.00293252270002278
random_raw,0,9,11,9b,0.002954163974261008
random_raw,0,9,12,9c,0.002559210719413362
random_raw,0,9,13,9d,0.002202129694482614
random_raw,0,9,14,9e,0.0029379330185823373
random_raw,0,9,15,9f,0.0033599378662277665
random_raw,0,10,0,a0,0.0038740422635395516
random_raw,0,10,1,a1,0.0019209172635395511
random_raw,0,10,2,a2,0.0018073005737888584
random_raw,0,10,3,a3,0.0023645633854232073
random_raw,0,10,4,a4,0.0020832268203262545
random_raw,0,10,5,a5,0.002424076889578332
random_raw,0,10,6,a6,0.002786568233068637
random_raw,0,10,7,a7,0.002169791917279163
random_raw,0,10,8,a8,0.001958789493456449
random_raw,0,10,9,a9,0.0023212808369467534
random_raw,0,10,10,aa,0.0021535609616004925
random_raw,0,10,11,ab,0.0021752022358387203
random_raw,0,10,12,ac,0.0017802489809910743
random_raw,0,10,13,ad,0.0014231679560603263
random_raw,0,10,14,ae,0.0021589712801600497
random_raw,0,10,15,af,0.002580976127805479
random_raw,0,11,0,b0,0.004188774279063708
random_raw,0,11,1,b1,0.0022356492790637076
random_raw,0,11,2,b2,0.002122032589313015
random_raw,0,11,3,b3,0.002679295400947364
random_raw,0,11,4,b4,0.002397958835850411
random_raw,0,11,5,b5,0.0027388089051024883
random_raw,0,11,6,b6,0.0031013002485927935
random_raw,0,11,7,b7,0.0024845239328033196
random_raw,0,11,8,b8,0.0022735215089806056
random_raw,0,11,9,b9,0.00263601285247091
random_raw,0,11,10,ba,0.002468292977124649
random_raw,0,11,11,bb,0.0024899342513628768
random_raw,0,11,12,bc,0.0020949809965152308
random_raw,0,11,13,bd,0.0017378999715844828
random_raw,0,11,14,be,0.002473703295684206
random_raw,0,11,15,bf,0.0028957081433296354
random_raw,0,12,0,c0,0.004436625741288981
random_raw,0,12,1,c1,0.002483500741288981
random_raw,0,12,2,c2,0.0023698840515382884
random_raw,0,12,3,c3,0.0029271468631726374
random_raw,0,12,4,c4,0.0026458102980756845
random_raw,0,12,5,c5,0.0029866603673277623
random_raw,0,12,6,c6,0.003349151710818067
random_raw,0,12,7,c7,0.002732375395028593
random_raw,0,12,8,c8,0.0025213729712058788
random_raw,0,12,9,c9,0.0028838643146961835
random_raw,0,12,10,ca,0.0027161444393499225
random_raw,0,12,11,cb,0.00273778571358815
random_raw,0,12,12,cc,0.0023428324587405043
random_raw,0,12,13,cd,0.0019857514338097564
random_raw,0,12,14,ce,0.0027215547579094797
random_raw,0,12,15,cf,0.003143559605554909
random_raw,0,13,0,d0,0.00441302084012467
random_raw,0,13,1,d1,0.002459895840124669
random_raw,0,13,2,d2,0.0023462791503739765
random_raw,0,13,3,d3,0.0029035419620083254
random_raw,0,13,4,d4,0.0026222053969113725
random_raw,0,13,5,d5,0.00296305546616345
random_raw,0,13,6,d6,0.003325546809653755
random_raw,0,13,7,d7,0.002708770493864281
random_raw,0,13,8,d8,0.002497768070041567
random_raw,0,13,9,d9,0.0028602594135318715
random_raw,0,13,10,da,0.0026925395381856105
random_raw,0,13,11,db,0.0027141808124238383
random_raw,0,13,12,dc,0.0023192275575761923
random_raw,0,13,13,dd,0.0019621465326454444
random_raw,0,13,14,de,0.0026979498567451677
random_raw,0,13,15,df,0.003119954704390597
random_raw,0,14,0,e0,0.004708082104678567
random_raw,0,14,1,e1,0.0027549571046785663
random_raw,0,14,2,e2,0.0026413404149278736
random_raw,0,14,3,e3,0.0031986032265622225
random_raw,0,14,4,e4,0.0029172666614652697
random_raw,0,14,5,e5,0.003258116730717347
random_raw,0,14,6,e6,0.003620608074207652
random_raw,0,14,7,e7,0.0030038317584181783
random_raw,0,14,8,e8,0.0027928293345954643
random_raw,0,14,9,e9,0.0031553206780857686
random_raw,0,14,10,ea,0.0029876008027395077
random_raw,0,14,11,eb,0.0030092420769777355
random_raw,0,14,12,ec,0.0026142888221300895
random_raw,0,14,13,ed,0.0022572077971993415
random_raw,0,14,14,ee,0.002993011121299065
random_raw,0,14,15,ef,0.003415015968944494
random_raw,0,15,0,f0,0.004743489456425034
