key_id,target_sbox_index,repetition,key_guess,key_guess_hex,sample_count,sei,chi
0,0,0,0,0,285,0.00616112650046168,28.094736842105263
0,0,0,1,1,285,0.00342797783933518,15.631578947368421
0,0,0,2,2,285,0.0035510926438904267,16.192982456140346
0,0,0,3,3,285,0.0048068636503539545,21.919298245614034
0,0,0,4,4,285,0.003526469682979378,16.080701754385963
0,0,0,5,5,285,0.005200831024930749,23.715789473684215
0,0,0,6,6,285,0.003083256386580486,14.059649122807016
0,0,0,7,7,285,0.0020490920283164045,9.343859649122805
0,0,0,8,8,285,0.003748076331178824,17.091228070175436
0,0,0,9,9,285,0.0032556171129578338,14.845614035087722
0,0,0,10,a,285,0.0020983379501385044,9.56842105263158
0,0,0,11,b,285,0.005250076946752847,23.940350877192984
0,0,0,12,c,285,0.0031325023084025844,14.284210526315785
0,0,0,13,d,285,0.0018274853801169585,8.33333333333333
0,0,0,14,e,285,0.0043390273930440145,19.785964912280708
0,0,0,15,f,285,0.0029355186211141894,13.385964912280704
0,0,1,0,0,285,0.004732994767620806,21.582456140350878
0,0,1,1,1,285,0.002640043090181594,12.038596491228068
0,0,1,2,2,285,0.0030340104647583873,13.835087719298246
0,0,1,3,3,285,0.005225453985841797,23.828070175438594
0,0,1,4,4,285,0.0054224376731301935,24.72631578947368
0,0,1,5,5,285,0.001802862419205909,8.221052631578946
0,0,1,6,6,285,0.002787780855647891,12.712280701754384
0,0,1,7,7,285,0.002640043090181594,12.038596491228068
0,0,1,8,8,285,0.0028124038165589418,12.824561403508774
0,0,1,9,9,285,0.0019259772237611573,8.782456140350877
0,0,1,10,a,285,0.0020737149892274547,9.456140350877194
0,0,1,11,b,285,0.002640043090181594,12.038596491228068
0,0,1,12,c,285,0.0032063711911357344,14.621052631578948
0,0,1,13,d,285,0.001532009849184364,6.9859649122807
0,0,1,14,e,285,0.002984764542936288,13.610526315789473
0,0,1,15,f,285,0.0021475838719606025,9.792982456140347
0,0,2,0,0,285,0.002369190520160049,10.803508771929822
0,0,2,1,1,285,0.0035757156048014777,16.30526315789474
0,0,2,2,2,285,0.0016551246537396124,7.547368421052632
0,0,2,3,3,285,0.00618574946137273,28.20701754385965
0,0,2,4,4,285,0.0032063711911357335,14.621052631578944
0,0,2,5,5,285,0.0034772237611572785,15.85614035087719
0,0,2,6,6,285,0.003920437057556171,17.87719298245614
0,0,2,7,7,285,0.003674207448445675,16.754385964912277
0,0,2,8,8,285,0.0020490920283164054,9.343859649122809
0,0,2,9,9,285,0.004018928901200369,18.326315789473682
0,0,2,10,a,285,0.00177823945829486,8.108771929824561
0,0,2,11,b,285,0.0014827639273622653,6.76140350877193
0,0,2,12,c,285,0.0017289935364727602,7.884210526315786
0,0,2,13,d,285,0.005816405047706986,26.522807017543858
0,0,2,14,e,285,0.0031571252693136345,14.396491228070174
0,0,2,15,f,285,0.002615420129270545,11.926315789473685
0,0,3,0,0,285,0.0043636503539550625,19.898245614035083
0,0,3,1,1,285,0.003600338565712527,16.417543859649122
0,0,3,2,2,285,0.002393813481071098,10.915789473684208
0,0,3,3,3,285,0.004289781471221914,19.561403508771928
0,0,3,4,4,285,0.005274699907663896,24.052631578947366
0,0,3,5,5,285,0.0030093875038473376,13.72280701754386
0,0,3,6,6,285,0.003871191135734072,17.652631578947368
0,0,3,7,7,285,0.001507386888273315,6.873684210526316
0,0,3,8,8,285,0.0021229609110495536,9.680701754385964
0,0,3,9,9,285,0.003821945213911973,17.428070175438595
0,0,3,10,a,285,0.0015566328100954138,7.098245614035087
0,0,3,11,b,285,0.003304863034779932,15.07017543859649
0,0,3,12,c,285,0.0021722068328716526,9.905263157894735
0,0,3,13,d,285,0.002172206832871653,9.905263157894737
0,0,3,14,e,285,0.004437519236688211,20.235087719298242
0,0,3,15,f,285,0.002418436441982148,11.028070175438595
0,0,4,0,0,285,0.00500384733764235,22.817543859649117
0,0,4,1,1,285,0.0025907971683594945,11.814035087719295
0,0,4,2,2,285,0.004314404432132964,19.673684210526314
0,0,4,3,3,285,0.007490766389658356,34.1578947368421
0,0,4,4,4,285,0.004412896275777161,20.122807017543852
0,0,4,5,5,285,0.002738534933825793,12.487719298245617
0,0,4,6,6,285,0.003600338565712527,16.417543859649122
0,0,4,7,7,285,0.004117420744844568,18.77543859649123
0,0,4,8,8,285,0.005225453985841798,23.828070175438597
0,0,4,9,9,285,0.005422437673130194,24.726315789473688
0,0,4,10,a,285,0.0034772237611572785,15.85614035087719
0,0,4,11,b,285,0.00283702677746999,12.936842105263155
0,0,4,12,c,285,0.0030586334256694366,13.94736842105263
0,0,4,13,d,285,0.0029847645429362884,13.610526315789475
0,0,4,14,e,285,0.004412896275777162,20.12280701754386
0,0,4,15,f,285,0.0040927977839335175,18.66315789473684
0,0,5,0,0,285,0.003230994152046783,14.73333333333333
0,0,5,1,1,285,0.004215912588488765,19.22456140350877
0,0,5,2,2,285,0.003945060018467221,17.989473684210527
