key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi,llr_known_model
0,S0,0,0.05,0,0,40,0.03,19.2,-inf
0,S0,0,0.05,1,1,40,0.015,9.6,-inf
0,S0,0,0.05,2,2,40,0.021249999999999998,13.599999999999998,-inf
0,S0,0,0.05,3,3,40,0.021249999999999998,13.599999999999998,-inf
0,S0,0,0.05,4,4,40,0.017499999999999998,11.2,-inf
0,S0,0,0.05,5,5,40,0.027499999999999997,17.599999999999998,-inf
0,S0,0,0.05,6,6,40,0.021249999999999998,13.599999999999998,-inf
0,S0,0,0.05,7,7,40,0.02875,18.400000000000002,-inf
0,S0,0,0.05,8,8,40,0.027499999999999997,17.599999999999998,-inf
0,S0,0,0.05,9,9,40,0.021249999999999998,13.599999999999998,-inf
0,S0,0,0.05,10,a,40,0.0375,24.0,-inf
0,S0,0,0.05,11,b,40,0.02125,13.600000000000001,-inf
0,S0,0,0.05,12,c,40,0.042499999999999996,27.199999999999996,-inf
0,S0,0,0.05,13,d,40,0.0375,24.0,-inf
0,S0,0,0.05,14,e,40,0.04,25.6,-inf
0,S0,0,0.05,15,f,40,0.0475,30.4,
0,S0,0,0.075,0,0,59,0.013627549554725654,12.864406779661017,-inf
0,S0,0,0.075,1,1,59,0.010180264291870154,9.610169491525426,-inf
0,S0,0,0.075,2,2,59,0.010754811835679404,10.152542372881356,-inf
0,S0,0,0.075,3,3,59,0.00673297902901465,6.35593220338983,-inf
0,S0,0,0.075,4,4,59,0.007882074116633152,7.4406779661016955,-inf
0,S0,0,0.075,5,5,59,0.017074834817581156,16.118644067796613,-inf
0,S0,0,0.075,6,6,59,0.015925739729962654,15.033898305084746,-inf
0,S0,0,0.075,7,7,59,0.014776644642344156,13.949152542372882,-inf
0,S0,0,0.075,8,8,59,0.018223929905199658,17.203389830508478,-inf
0,S0,0,0.075,9,9,59,0.013627549554725657,12.86440677966102,-inf
0,S0,0,0.075,10,a,59,0.015925739729962654,15.033898305084746,-inf
0,S0,0,0.075,11,b,59,0.010754811835679404,10.152542372881356,-inf
0,S0,0,0.075,12,c,59,0.02224576271186441,21.000000000000004,-inf
0,S0,0,0.075,13,d,59,0.014202097098534903,13.406779661016948,-inf
0,S0,0,0.075,14,e,59,0.017074834817581153,16.11864406779661,-inf
0,S0,0,0.075,15,f,59,0.02282031025567366,21.542372881355934,-inf
0,S0,0,0.1,0,0,79,0.011686829033808686,14.77215189873418,-inf
0,S0,0,0.1,1,1,79,0.008482214388719756,10.721518987341772,-inf
0,S0,0,0.1,2,2,79,0.0075208299951930796,9.506329113924053,-inf
0,S0,0,0.1,3,3,79,0.007200368530684185,9.10126582278481,-inf
0,S0,0,0.1,4,4,79,0.007520829995193079,9.506329113924052,-inf
0,S0,0,0.1,5,5,79,0.009123137317737543,11.531645569620254,-inf
0,S0,0,0.1,6,6,79,0.01873698125300433,23.683544303797472,-inf
0,S0,0,0.1,7,7,79,0.011686829033808684,14.772151898734178,-inf
0,S0,0,0.1,8,8,79,0.012648213427335362,15.987341772151897,-inf
0,S0,0,0.1,9,9,79,0.010084521711264222,12.746835443037977,-inf
0,S0,0,0.1,10,a,79,0.012968674891844258,16.392405063291143,-inf
0,S0,0,0.1,11,b,79,0.01360959782086204,17.20253164556962,-inf
0,S0,0,0.1,12,c,79,0.011366367569299794,14.367088607594939,-inf
0,S0,0,0.1,13,d,79,0.009443598782246435,11.936708860759493,-inf
0,S0,0,0.1,14,e,79,0.013289136356353148,16.79746835443038,-inf
0,S0,0,0.1,15,f,79,0.01841651978849543,23.278481012658226,-inf
0,S0,0,0.15,0,0,119,0.006209836875926841,11.823529411764707,-inf
0,S0,0,0.15,1,1,119,0.005362439093284373,10.210084033613446,-inf
0,S0,0,0.15,2,2,119,0.006492302803474331,12.361344537815125,-inf
0,S0,0,0.15,3,3,119,0.003950109455546925,7.521008403361345,-inf
0,S0,0,0.15,4,4,119,0.006209836875926841,11.823529411764707,-inf
0,S0,0,0.15,5,5,119,0.0029614787091307108,5.6386554621848735,-inf
