trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256
31,0,1,counter,28b7bd766a05068b,f165fb46e9b67bf2,96,100000000.0,4288,b64f6d5493112c1b7e9ba7dd8a6c50c069dc5974db6bae3fa1a0a386ca03e3c3
32,2,3,random,c955ec03941e3a91,2fa89f106c5ba7a2,96,100000000.0,4288,7540d8991c0d7c7777abad69ec140552a169d114d1cd58efd027f0df016eb3d6
33,0,1,random,917166f576e6c6d0,8a4affb8dd77ddef,96,100000000.0,4288,a304a3cfd14561c5d1e4687035e8442e32db4de687d60dc24b072c76299faf97
34,3,0,random,c9cc1b2155fbfc13,8e34b884a47ed659,96,100000000.0,4288,7906991401cb37f574378c0be03fe00f021df008128b74c5e244d4ab0317c9cc
35,2,0,random,79ece560ee9b7f30,df2da7150dfd4b17,96,100000000.0,4288,2ae4000e982bccca4430ef1dd5d032ab998c749dc9d3f4241c21b8c6e7dc69d7
36,1,0,random,c6563e3e97e65e38,eaf6ba5ac45f745d,96,100000000.0,4288,86113890056b20cda2fe11808e6dbe927f832e8b0d19cde9e5b5a15d42667753
37,2,2,random,87daee678c8e5905,ae0c741e271386ce,96,100000000.0,4288,981d533cdf48d20d7a59434ebe0a9e0eca1c60d26c360b178f15bb6d8324ed37
38,1,0,random,cb54174daee0ddca,72b5d139d1ed48da,96,100000000.0,4288,aab8a5d9fe59d4fff421f269a32358076d74cb24b12b107fb2bf3d01678a1e2e
39,3,0,random,57c3c50383a39549,c516640de6302d9a,96,100000000.0,4288,a7852507d2bd412e6e53524005333b5df5635a6a7977e16cf872f6ab3c55d769
40,3,3,random,44386eea2183f4a1,59e4f13662fcf1ae,96,100000000.0,4288,21207349c2020c0819bf91bb11886f40278073f6078e177772091b3d9252bfc2
41,2,2,random,5907931c2bb02ac1,53ad05a49a48b72e,96,100000000.0,4288,b0085c81a3732704ba84ad6211f1133678f0bcb5158514d7b5552d5564c5e1aa
42,3,0,random,0a17a288336986dd,83d13c87786c2ffa,96,100000000.0,4288,04eba6b6d2c9c4ee92a480d1dbd950f62035302f67bc2dca5dc6308d25e66de2
43,2,2,random,2409732610fb2bd5,c43eabed738dd6c4,96,100000000.0,4288,84f2fe8704aefce384950feb7a9bd6a569d1cf110cad851ed3cd51d6d811cae7
44,1,2,walking_one,0000000000000004,3e444f14dd1c9990,96,100000000.0,4288,73b5769d87707714fe58ccc58df566f605601ffb621e6917d2539e529266c167
45,1,0,walking_zero,fffffffffffffffb,9e96deedbd4d0098,96,100000000.0,4288,a873076e9ca9d97664942a4eca555cfe286288cf14398c58535c97740c436597
46,0,3,repeated_nibble,2222222222222222,4e3b083e3d9c9203,96,100000000.0,4288,be5279e30961710f4231c12dea04f9b568200ece79a0157c673ad5a1ba899889
47,3,3,counter,0c2f590e5eacc7db,cf9b38cf865248f4,96,100000000.0,4288,6e3266353a6b3f39e002b4b5a35e66e559f99aed63d10dae85f83e28979bdd8d
48,3,0,random,38edd138564b9611,95da508cd92fbd72,96,100000000.0,4288,796a8b3d77be0311ea88c6f730f474fe6c796d20e8334d949d329fbb084d81f5
49,1,0,random,cb2e8945186eaef7,102439bcd269d20b,96,100000000.0,4288,3936bf0961d02852526a42aa12939d3a7086d2631e2ffa9bfb49dfdda35bd5ce
50,1,2,random,e700ba993cfc0530,cee726d95d4efcad,96,100000000.0,4288,c329c14f6a06754dc5557e26120e0c0b236bde7ec43789ce8d606c8a1f9f0494
51,0,3,random,8ec50fef24bb99f1,5d023b4e8d0abc6c,96,100000000.0,4288,bee924dab3458cebc7228f018e1cc7d30fdedab23eefa3528f02e810dc97ec02
52,2,0,random,fc383813b874e38f,1abcc5f1350abaff,96,100000000.0,4288,e4290533b2ac901683cf784652101837ffba1402a721b09b63dde4018555dd09
53,3,0,random,ebf000849e1ae8e0,a932c6ec2d3d1dd6,96,100000000.0,4288,2b0962a110ea6adfc3ec9938788480fcbb741ede510ebadcfa24e01c51b6ca4f
54,3,3,random,05bdf34d72ac98e9,f1438a0e690a47e7,96,100000000.0,4288,70212c0d346236e7549d32e2b1493e9aa5fe9205388104d6b618155f73f62b9e
55,0,2,random,7ab9d373a6a4f3fa,79e3acb1f95362b0,96,100000000.0,4288,ab505fe861259ee212bb0caec1ea0635517d00db3eba0fef8ec2b2eb2c20dfe6
56,1,0,random,7884fe8a4cec74a2,c0544166f3de1619,96,100000000.0,4288,b91f9556c0411043a0893a580d2a589e0ce2760de94c97a1fcb052854f869c64
57,3,1,random,5ce2ec6225aa7a90,d1eb20997adc9356,96,100000000.0,4288,e9b2ba1723336c55707938816b0f4922fbebdfc4f96a98d507bb35d9a9b7afa0
58,2,0,random,4f488eea03987284,83033e69f3b0245f,96,100000000.0,4288,578dbec7f3234a6da1f44458e4d24973dc48924fb2c3bf5a42cdab926421b731
59,1,3,random,4a7fe3b42a56d158,fa8a25c9db3e8539,96,100000000.0,4288,90f516e81bb923aa6706bcbb02fc49a6253ca1757f130054bf157bf9dc56c344
60,2,1,walking_one,0000000000000008,ce8be0a3b1fda43a,96,100000000.0,4288,3f899ea0e3471d5da5dbe61b023488fd53ef7d0030eeb114051b1271e53397a8
61,1,2,walking_zero,fffffffffffffff7,23814d54287877b3,96,100000000.0,4288,6fa22bf972dd3ddfc6830a40d57a8809d00bc6c3b252e8dc378042d0e7fef4ce
62,1,2,repeated_nibble,3333333333333333,5a777c568ad9a1d2,96,100000000.0,4288,03563a17d67d7d30388466978938703b4f2e9d9ecaaadab65780ede317baccb2
63,1,3,counter,efa6f4a65354892b,4f4a8481a20b85e7,96,100000000.0,4288,762d9d20e6238f9829ec1c6e28cf4299436e2d403b647a7f2755deabdb1cc428
64,1,1,random,dbed756fa40198e7,3793080b66149980,96,100000000.0,4288,dd8f742737d6d8a65bf3b3a9f977483ea54c3ffc2258229caa2ff81a8fa3edc4
65,3,3,random,e597bc4d9a77bb51,43fb4a18a2e26330,96,100000000.0,4288,7e001af6822d3fc1e1efb51d6cc31e97b3ab3414af70a79e2c468357a6911313
66,1,3,random,e10ce3014e044ad2,5217a81ecebcecbd,96,100000000.0,4288,0c92f7c00f645a57cf0c172762fa11ce19d71d47cb850c128bbaaa0086da58ec
67,2,2,random,d14111c6fa5cfa4a,5b4d44b35b9d109a,96,100000000.0,4288,dcd67c8737e5518c710ea68df52a0492c67cad5c81ce8470f706a82383778dc8
68,3,0,random,4c5ed899c98acea3,bf28c187829fbc72,96,100000000.0,4288,17659da0960f9798e77dcfecbbcd06ba56cf3efa50838693997777532f390bba
69,1,3,random,29af078e5eee3177,825a5ec5a02013db,96,100000000.0,4288,88e7d7c67cfac94a5d96949d645bd8b2b669ab689c4983f93075b520ea34c2bf
70,1,0,random,2d22328c3fa5cb04,e3e3f6ced246ffb5,96,100000000.0,4288,3d397c9cba8bd60a837a1050d3ca689a818442f568ae15cf49fab8fd269bd241
71,1,1,random,a83e9990a684c3ff,76a5f2c17d984b6c,96,100000000.0,4288,650258d61eb94f88370bdba5978e533f3da0f18028759b9f17c2b38d0a0e6e62
72,1,2,random,95e16d8960ed99a2,83eaf5a267a60110,96,100000000.0,4288,b7609454186ff778768cc486abaafa15952359439fe7977fb16bc96fd44d1c4a
73,1,1,random,c1d1d4d0e6e8b117,576dcb122fda31c7,96,100000000.0,4288,891c4daf10cced6d9015799a0209cc14696bfaf8bbd7069361da9297ccb1e703
74,1,1,random,2c3b7f46cf001dce,94164ae175ebf47b,96,100000000.0,4288,6f66a63b77f9d58d321babfc7bd206f0ed5627bbb180ef26da7ce5dfdb1c03cd
75,2,2,random,d4bd5c79dd2f4c64,ea104445e6cfbe7f,96,100000000.0,4288,d5533bae7e2d8d6c1b125c4c14d14ff79a731d6e9e88df55f54ead6419b52c5f
76,2,2,walking_one,0000000000000010,730136a1e693480a,96,100000000.0,4288,f6dd5dc4a5c4c2022831fcb441031ffdb99c977eeffe872c4a40382d615be04a
77,1,2,walking_zero,ffffffffffffffef,4ae337423737ecad,96,100000000.0,4288,c7b6e1ba1aff2e3a5b9076191c40c204cf6414f28b41218bc5420da97d9f0e60
78,0,3,repeated_nibble,4444444444444444,5884a88d302210ed,96,100000000.0,4288,11a2d954bb3fb124b026263e602d29c661fac88fddac037c7a7daa23eca782f9
79,3,2,counter,d31e903e47fc4a7b,447f92050d866254,96,100000000.0,4288,4c86ce8c7bb0fecc27b90b50f4bbb3fbf5c604f140a5d98eb65301feafbc1ced
80,1,0,random,e55950793bce2252,f4d8b723d05f1b3d,96,100000000.0,4288,2f86274c24d49279e13691c38cceec99204c796d8b0bbdac4c8958254ee05ff4
81,2,1,random,27f76f20a797e3a6,9c5a04f5a028ddbc,96,100000000.0,4288,a98438fa312995b1ea3c9034514ff093bf7b1aa4d51c86bf7e732cfc2b7e6390
