experiment_id,category,category_id,sampling_regime,target_sbox,target_sbox_index,key_id,session_id,master_key_hex,round_key_32_hex,x31_hex,x32_hex,target_original_input,target_faulted_input,impacted_sboxes,impacted_sbox_count,target_impacted,off_target_impacted,changed_sbox_input_count,fault_effective,invalid_subtype,invalid_probability,global_jitter_samples,injection_jitter_samples,model_details_json
2553,off_target,3,neighbor_probe,S5,5,4,3,19befa4e32aa4154e8eb,48e4d611,456b8a2d,2a6c9d60,8,8,S4,1,False,True,1,True,,0.0005367246210629503,0.24985510842249836,-0.206496719942032,"{""S4"": {""and_mask"": 0}}"
2554,missed,0,neighbor_probe,S0,0,5,3,6ce416051079421e4d04,e3f442d9,30b0daa2,e7e518c9,0,0,,0,False,False,0,False,,0.0005156465146754387,-0.2501665741448982,0.06654300182546954,{}
2555,off_target,3,neighbor_probe,S5,5,5,3,6ce416051079421e4d04,e3f442d9,4ba75088,2c6308dc,9,9,S4,1,False,True,0,False,,0.0009504164733755729,-0.25119759837397976,0.030373532128842164,"{""S4"": {""and_mask"": 15}}"
2556,off_target,3,multi_probe,S0,0,6,3,b67736ff4c567a14112b,30e88f1f,d263c0ee,7eb65223,12,12,S1,1,False,True,0,False,,0.1857973644129759,-0.06855795086740245,-0.22698051972793284,"{""S1"": {""bit_position"": 2, ""stuck_value"": 0}}"
2557,multi_hit,4,multi_probe,S5,5,6,3,b67736ff4c567a14112b,30e88f1f,6ef750f8,ba614b1f,8,0,S5;S6,2,True,True,2,True,,0.06326484126668379,-0.08517623940836119,-0.32509776951716435,"{""S5"": {""and_mask"": 1}, ""S6"": {""and_mask"": 9}}"
2558,invalid_reset,5,invalid_probe,S0,0,7,3,b78b228f913a5cfcb7ec,5efdde13,badcee7e,347203d0,3,3,,0,False,False,0,False,reset,0.9489109427235061,-0.5042286669387546,0.09412770122995484,{}
2559,invalid_reset,5,invalid_probe,S5,5,7,3,b78b228f913a5cfcb7ec,5efdde13,503a0587,74ea31df,1,1,,0,False,False,0,False,timeout,0.985,0.08147053964399613,-0.2972625038251904,{}
2560,off_target,3,miss_probe,S0,0,0,0,94be897446726719d350,124ec80a,719c62b9,3de81cb1,11,11,S3,1,False,True,1,True,,0.0005,0.6069482389266387,-0.005252232453516587,"{""S3"": {""and_mask"": 3}}"
2561,off_target,3,miss_probe,S5,5,0,0,94be897446726719d350,124ec80a,21d5a566,0b2042f0,6,6,S3,1,False,True,1,True,,0.0005,0.234870422485145,-0.2507319627162066,"{""S3"": {""and_mask"": 6}}"
2562,off_target,3,miss_probe,S0,0,1,0,454d5b2e2dc08ce40669,2bcb35b6,9fa9ff3f,5a89a391,7,7,S3,1,False,True,1,True,,0.0005,-0.7436870042845997,0.18915587868168934,"{""S3"": {""and_mask"": 7}}"
