experiment_id,campaign_partition,batch_index,batch_role,campaign_arm,objective,recommendation_mode,recommendation_candidate_id,recommendation_rank,safety_regime,target_sbox,target_sbox_index,key_id,session_id,source_healthy_trace_id,fault_model,nominal_target_center_sample,timing_offset_samples,first_pulse_nominal_sample,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance,trace_mean,trace_std,trace_peak_to_peak,trace_max_absolute,trace_high_frequency_energy,target_window_energy,pulse_window_energy,saturation_fraction,p_missed,p_clean_target_ineffective,p_clean_target_effective,p_off_target,p_multi_hit,p_invalid_reset,predicted_category,prediction_confidence,p_clean_target,p_attack_unusable,public_objective_score
18000,closed_loop,3,confirmation,guided_exploit,SEFA,exploit,27911,6,,S0,0,7,3,358,random_and_4,4083.0,-0.13790472006514273,4082.8620952799347,3.692001454828483,1.0824548809162071,1,3.7059624660677972,8d23c1b74f527b8f,4ee6680bf04ad272,True,4ee6680b804ad472,False,5.0,0.06096303990626758,1.13471831605966,6.442949533462524,3.905672550201416,1.181807097529285,4.026801910974762,5.297295152532332,0.0,3.713781317413465e-08,6.14482329221141e-07,0.5412114902862091,0.005154871626986959,0.453626598630566,6.387836095409167e-06,clean_target_effective,0.5412114902862091,0.5412121047685383,0.4587878952314615,0.5412114902862091
18001,closed_loop,3,confirmation,guided_explore,SHFA,explore,29122,5,,S5,5,6,1,190,random_and_4,4128.0,-0.015043037025112282,4127.984956962975,0.6553268935502862,0.4972232842397046,1,3.3722737382546435,e57f5682547ef18b,08b82030aaed33c2,True,08b82030aae533c2,False,1.0,0.15035667113418616,1.035019361726157,4.928492784500122,2.8436543941497803,1.467354645245134,1.1899824606732181,1.018134496100392,0.0,0.0002647200599896234,0.0009699809299709395,0.9287348996778392,0.03284100502306829,0.03712223532161993,6.715898751225834e-05,clean_target_effective,0.9287348996778392,0.9297048806078101,0.0702951193921901,0.006117433839554123
18002,closed_loop,3,confirmation,guided_exploit,SEFA,exploit,22785,19,,S0,0,7,0,689,random_and_4,4083.0,-0.9886276669235953,4082.0113723330765,2.2785101409605084,1.200252365463238,1,2.9612596836258995,04292e0a1ab5fb33,a1505f67a3baf61d,True,a1505f67a3baf61d,True,0.0,0.08041431100006062,1.0670493208720797,6.241040945053101,3.4582462310791016,0.7566809346814423,2.607299380362753,3.4620064834721047,0.0,0.1567009488079339,0.778313233349845,0.0003709156064024264,0.02284641104881405,0.04164829910980427,0.00012019207720030926,clean_target_ineffective,0.778313233349845,0.7786841489562475,0.22131585104375254,0.0003709156064024264
18003,closed_loop,3,confirmation,guided_exploit,SIFA,exploit,29287,4,,S0,0,7,3,551,random_and_4,4083.0,-0.8637014634753326,4082.1362985365245,1.6829591700891138,0.16044378627170178,2,2.4948333554685482,2b04b0816cbcd542,38fa1d370ed4833d,True,38fa1d370ed4833d,True,0.0,-0.044386456594676583,1.0721716174803355,6.071866273880005,3.3083994388580322,0.941226233785083,1.3686120132638804,1.388138335341909,0.0,0.23005677515429576,0.727777162662512,0.00015092316687350857,0.022422400775776712,0.019519481377533565,7.325686300834897e-05,clean_target_ineffective,0.727777162662512,0.7279280858293855,0.2720719141706144,0.727777162662512
18004,closed_loop,3,confirmation,guided_exploit,SHFA,exploit,29132,3,,S5,5,6,3,929,random_and_4,4128.0,-0.1618109285725713,4127.838189071427,1.2341466414993731,0.7812368937659333,1,5.709276648420874,2c729de1c6a392cd,378b175047272070,True,378b175047272070,True,0.0,0.02057123039471539,1.0271074059169287,5.897515058517456,3.4406754970550537,1.5443517854683166,0.9644798367234647,1.2020646818309575,0.0,0.1414122003754845,0.823606548371433,0.0001409968385247582,0.02286183599293969,0.011966379390410222,1.2039031207902781e-05,clean_target_ineffective,0.823606548371433,0.8237475452099577,0.17625245479004234,0.00041248378009321404
18005,closed_loop,3,confirmation,guided_exploit,SHFA,exploit,36710,3,,S0,0,6,2,340,random_and_4,4083.0,-0.11542662478374477,4082.8845733752164,1.7074196104625228,0.9821903256171644,1,2.207301555378555,92025cc2c5ff8d10,2d3bc725a27a1045,True,2d3bc725a27a1045,True,0.0,0.12533954122556826,1.0562464864830539,5.139251947402954,2.878169536590576,0.6563082717247305,0.7716839380400754,0.6841019648833238,0.0,0.13517782194268516,0.8470052015364572,7.902879451063148e-05,0.009242432486674267,0.008462384735680381,3.3130503992449455e-05,clean_target_ineffective,0.8470052015364572,0.8470842303309678,0.15291576966903225,0.00023120568815850973
18006,closed_loop,3,confirmation,baseline_random,SIFA,,-1,-1,,S5,5,7,0,367,random_and_4,4128.0,2.0143094743944014,4130.014309474394,3.4742142866603456,0.4738495983715507,2,4.487456736935622,166a0ae0ad0fee77,2bcd8c5a05efe89f,True,2bcd8c5a05efe89f,True,0.0,0.04989815795577031,1.1095761490935907,6.144876718521118,3.8191380500793457,1.460863422766488,0.48687453224745864,3.0935934316183418,0.0,0.12321450662281277,0.5134127815300589,1.0254265161721379e-05,0.24931924024147076,0.11390711480847121,0.00013610253202462762,clean_target_ineffective,0.5134127815300589,0.5134230357952206,0.48657696420477936,0.5134127815300589
18007,closed_loop,3,confirmation,guided_exploit,SHFA,exploit,33876,1,,S0,0,6,2,914,random_and_4,4083.0,-0.13402862291254575,4082.8659713770876,1.616030287378805,0.7729999733607843,1,4.037706560552962,9452c33e9c796f13,0637568343afd624,True,0637568343afd724,False,1.0,-0.019860889375637715,0.9238840450778776,5.169270038604736,3.1155920028686523,0.7208973782149509,1.0737636712199097,1.29323413463111,0.0,4.247127344909432e-05,0.0003250216134197702,0.9638993186344964,0.009502134727353364,0.02619783857150562,3.3215179775975376e-05,clean_target_effective,0.9638993186344964,0.9642243402479161,0.035775659752084056,0.0020529620090698362
18008,closed_loop,3,confirmation,guided_explore,SHFA,explore,29122,5,,S5,5,6,1,160,random_and_4,4128.0,0.10345379061287749,4128.103453790613,0.6088025664144724,0.5476152571501909,1,3.499685246983629,724d957631b3b6c0,3a3726faddaa041f,True,3a3726fadda1041f,False,3.0,0.10551247358435413,0.9883165558862346,5.416688442230225,3.337059497833252,0.8373360113181539,1.3254866635062266,0.9567751747402468,0.0,4.599616170999142e-06,3.0555667289710014e-05,0.9386292638119061,0.009693230753615553,0.05162728052458638,1.5069626430996125e-05,clean_target_effective,0.9386292638119061,0.9386598194791959,0.06134018052080393,0.0001931284126708135
18009,closed_loop,3,confirmation,guided_exploit,SHFA,exploit,24200,16,,S0,0,7,3,759,random_and_4,4083.0,0.09767458110383534,4083.097674581104,3.960940492105434,0.5276520678599745,1,4.1271368783122835,6911a49a58141c11,c3c1b3d1e34bf9f3,True,c3c1b3d1e34bf9f3,True,0.0,0.006179117075343792,0.8588827593223031,6.599281072616577,3.746525526046753,0.7601804315889523,0.3800354609733525,0.26413579189560243,0.0,0.20961710178467585,0.7679568518291084,0.00012668357041144726,0.011997057073745486,0.010280330249589497,2.197549246921466e-05,clean_target_ineffective,0.7679568518291084,0.7680835353995199,0.23191646460048004,0.0003706116341251912
