batch_index,campaign_arm,target_sbox,objective,recommendation_candidate_id,recommendation_rank,selection_count,mean_public_objective_score,mean_p_clean_target_ineffective,mean_p_clean_target_effective
0,guided_exploit,S0,SEFA,4470,14,15,0.3773250159962948,0.35307517143012646,0.3773250159962948
0,guided_exploit,S0,SEFA,19949,11,24,0.6141973094018107,0.21093596986351582,0.6141973094018107
0,guided_exploit,S0,SEFA,20533,24,18,0.5029041261216936,0.2617729555371887,0.5029041261216936
0,guided_exploit,S0,SEFA,21922,23,15,0.40343608275473536,0.437636683275736,0.40343608275473536
0,guided_exploit,S0,SEFA,22785,19,23,0.4515888742609311,0.31383281307301497,0.4515888742609311
0,guided_exploit,S0,SEFA,23496,12,16,0.4478547181041559,0.38181178941557814,0.4478547181041559
0,guided_exploit,S0,SEFA,25782,4,22,0.39147802126040415,0.3540410990864284,0.39147802126040415
0,guided_exploit,S0,SEFA,27659,18,26,0.7337790318030332,0.1508812787179978,0.7337790318030332
0,guided_exploit,S0,SEFA,27911,6,18,0.5413820858973771,0.2790928545207184,0.5413820858973771
0,guided_exploit,S0,SEFA,28443,1,44,0.5325340734223147,0.32478272203372754,0.5325340734223147
0,guided_exploit,S0,SEFA,30277,9,26,0.47645958390754745,0.36508089432644514,0.47645958390754745
0,guided_exploit,S0,SEFA,30380,5,26,0.43738677952416755,0.42638257152028214,0.43738677952416755
0,guided_exploit,S0,SEFA,30482,8,22,0.45315761239141106,0.35507722351289817,0.45315761239141106
0,guided_exploit,S0,SEFA,30571,15,16,0.6232174084016389,0.23035224651323558,0.6232174084016389
0,guided_exploit,S0,SEFA,31351,7,26,0.4111623489189172,0.34813725521807104,0.4111623489189172
0,guided_exploit,S0,SEFA,32341,22,19,0.45675863155438373,0.33184629461517556,0.45675863155438373
0,guided_exploit,S0,SEFA,32664,20,23,0.5101477559854343,0.25901914821345773,0.5101477559854343
0,guided_exploit,S0,SEFA,32974,2,33,0.5090673586268685,0.3258769255989341,0.5090673586268685
0,guided_exploit,S0,SEFA,33330,21,11,0.6159280410689507,0.15482886726127687,0.6159280410689507
0,guided_exploit,S0,SEFA,33497,13,19,0.4260843909155496,0.4270645198653701,0.4260843909155496
0,guided_exploit,S0,SEFA,36785,16,18,0.6282008974889394,0.1695210559882026,0.6282008974889394
0,guided_exploit,S0,SEFA,36989,10,28,0.5113267530460083,0.3253716627862536,0.5113267530460083
0,guided_exploit,S0,SEFA,37414,17,16,0.6462748615180575,0.1471922394590584,0.6462748615180575
0,guided_exploit,S0,SEFA,37454,3,21,0.5535666344950895,0.26997111650530836,0.5535666344950895
0,guided_exploit,S0,SHFA,18327,13,12,0.0007689906142647569,0.5267790503839854,0.29932834469253394
0,guided_exploit,S0,SHFA,19535,2,17,0.0011095698377742342,0.3936454999571095,0.4209908340539843
0,guided_exploit,S0,SHFA,20603,7,19,0.0007585271161120202,0.49711534950380165,0.31539401784372234
0,guided_exploit,S0,SHFA,21193,11,19,0.00070287365493629,0.403064988044696,0.45136026275566843
0,guided_exploit,S0,SHFA,21799,12,20,0.0011131136352806657,0.41399613462519264,0.4048580610362061
0,guided_exploit,S0,SHFA,22643,8,28,0.0012728191499788936,0.33160851959920157,0.50816750902567
0,guided_exploit,S0,SHFA,23124,19,14,0.0006084939235270531,0.4503702159741045,0.32028102415780874
0,guided_exploit,S0,SHFA,23678,18,14,0.0008175523544984209,0.10929799702031152,0.744084287068015
0,guided_exploit,S0,SHFA,24200,16,19,0.0010135118127336054,0.2729304106436581,0.515006891589881
0,guided_exploit,S0,SHFA,24536,10,18,0.0011607699014019113,0.30315076637215316,0.5498810606835708
0,guided_exploit,S0,SHFA,25145,22,14,0.0007643525679518948,0.2789154181040198,0.555607192629267
0,guided_exploit,S0,SHFA,25558,24,11,0.000639626643269141,0.26910333469025566,0.5517341825928045
