candidate_id,objective,recommendation_mode,rank,target_sbox,timing_offset_samples,width_samples,strength,repeat,repeat_spacing_samples,target_is_s5,absolute_timing_offset_samples,pulse_span_samples,glitch_energy_proxy,predicted_mean_missed,predicted_std_missed,predicted_mean_clean_target_ineffective,predicted_std_clean_target_ineffective,predicted_mean_clean_target_effective,predicted_std_clean_target_effective,predicted_mean_off_target,predicted_std_off_target,predicted_mean_multi_hit,predicted_std_multi_hit,predicted_mean_invalid_reset,predicted_std_invalid_reset,predicted_mean_clean_target,model_disagreement,support_score,robust_utility_SIFA,robust_utility_SEFA,robust_utility_SHFA,exploration_utility_SIFA,exploration_utility_SEFA,exploration_utility_SHFA
21535,SIFA,explore,1,S0,-0.14949705367875193,0.8980883118610943,0.34818420339864786,2,3.7038340376637837,0.0,0.14949705367875193,4.601922349524878,0.6254003268939831,0.06668857364117035,0.007830039502649815,0.4615422917926318,0.02934959017163825,0.3050517908541972,0.018404792014405442,0.03241200029824928,0.00393556882210801,0.1342165173056718,0.019028401514564895,8.882610807945564e-05,0.00010879031060454502,0.7665940826468289,0.07096752308876308,0.030520417805247446,0.44393253768964885,0.2940089156455539,0.6684748583935483,0.46877117077071595,0.318847548726621,0.6933134914746153
33075,SIFA,explore,2,S0,-1.1412400902545556,2.6037225699544355,0.18648611634385692,2,3.0026233293627484,0.0,1.1412400902545556,5.6063458993171835,0.971116220215298,0.08030970226418499,0.003796188172084723,0.4374142530138141,0.03139515615541701,0.32103782224902516,0.030671401329498253,0.04195696975937169,0.002663767763680753,0.11921173537330534,0.004601558595839522,6.951734029884399e-05,1.9170723068983754e-06,0.7584520752628392,0.05096705540269015,0.023826127372680694,0.4185771593205639,0.3026349814513262,0.6756208912979424,0.4364156287115054,0.32047345084226775,0.693459360688884
35321,SIFA,explore,3,S0,1.2644580996327548,3.68551993640742,0.6650742480695869,2,1.3341709329338518,0.0,1.2644580996327548,5.019690869341272,4.902288800903273,0.08021836982291825,0.005184542881332071,0.4406765185759375,0.055468261957242505,0.2569475128703596,0.029876657010380208,0.05061374886946236,0.007526928617357372,0.17131108139004242,0.02290154574314472,0.00023276847127983035,9.01664955390934e-05,0.6976240314462971,0.08083257057300544,0.0605758630317903,0.407395561401592,0.2390215186641315,0.5661439522323315,0.4356869611021439,0.2673129183646834,0.5944353519328834
26864,SIFA,explore,4,S0,-0.7498722299605132,0.6736177785452732,0.5579325009952297,2,3.3592050421125417,0.0,0.7498722299605132,4.032822820657815,0.7516665037972301,0.06371320420803794,0.006463772104615848,0.4315041684085686,0.030601594308245186,0.33724762815990855,0.029917790062389055,0.03816494271728552,0.004799055369269588,0.12927644325556845,0.0050639467196351194,9.3613250630902e-05,0.00011190001165962373,0.7687517965684771,0.05226316759243297,0.03939145190383425,0.41314321182362146,0.3192969541224751,0.7017610505516468,0.431435320480973,0.33758906277982664,0.7200531592089984
18096,SIFA,explore,5,S0,0.7705260503737739,2.474356897313562,0.5161450051183615,2,2.2025890323040436,0.0,0.7705260503737739,4.676945929617606,2.554253906857123,0.07448918129995843,0.008025264274676723,0.4116696029392571,0.020809134342091973,0.31813799237534496,0.03981370380955668,0.044239326771172954,0.0034079237474546396,0.15138685996276421,0.011889482496378787,7.703665150230431e-05,3.259797885514731e-06,0.729807595314602,0.04887680594677199,0.08096508692273824,0.3991841223340019,0.29424977008961095,0.6495410319163306,0.4162910044153721,0.31135665217098113,0.6666479139977008
21001,SIFA,explore,6,S0,-0.9536905112464429,2.8085446987140643,0.4068372740385541,2,1.346132789163059,0.0,0.9536905112464429,4.154677487877123,2.285241338480524,0.0779157049031408,0.011541891649632437,0.4243255372214834,0.07630875217255163,0.35787110308204073,0.07368533609201278,0.03541658166653375,0.0029821703963365926,0.10439678403455656,0.014190164247954577,7.428909224473378e-05,3.966610282548487e-06,0.7821966403035241,0.07861238694298445,0.04981785065584948,0.3785402859179524,0.3136599014268331,0.6927077767037586,0.40605462134799697,0.34117423685687764,0.7202221121338032
32639,SIFA,explore,7,S0,-0.7125731858014503,6.504997611544981,0.4792416038459186,2,1.3592966751911397,0.0,0.7125731858014503,7.864294286736121,6.2349309767413725,0.047232519942238614,0.003873356245315082,0.38235623421331594,0.009820572935411529,0.35681642897534316,0.018511813019263405,0.0373873645330925,0.0023936437856686755,0.17422847420084597,0.017428986651019177,0.0019789781351638573,0.0012851515380172258,0.739172663188659,0.06102017483191688,0.008269580353785388,0.376463890452069,0.3457093411637851,0.7135110999555092,0.39782095164323994,0.367066402354956,0.7348681611466801
1582,SIFA,explore,8,S0,-1.3320092261535663,4.52862368318315,0.2522095217719015,2,2.0112326999628523,0.0,1.3320092261535663,6.539856383146002,2.2843240268410585,0.07940271615693183,0.0032975573205365084,0.40144236551860024,0.04272861346667404,0.3512189578415695,0.03036902366002929,0.043834412678790624,0.005889007627680882,0.12374088218241612,0.008726733695711768,0.00036066562169171463,0.0003157612441040144,0.7526613233601698,0.054449973039043184,0.033498885826066305,0.3758051974385958,0.3329975436455519,0.7108111011510206,0.39486268800226093,0.352055034209217,0.7298685917146858
34472,SIFA,explore,9,S0,0.5605867299174467,1.327764119249903,0.4816480749909005,1,2.366094318094361,0.0,0.5605867299174467,1.327764119249903,0.6395150320787043,0.1813212386947735,0.04131246394127794,0.394124949348293,0.05078354760651342,0.3721001402436258,0.08330613841035624,0.017936303537917246,0.0022565514562670665,0.03447745436318785,0.007738526099998581,3.991381220251809e-05,2.711947661122682e-06,0.7662250895919188,0.08907669319573633,0.10205536889060518,0.36365482078438494,0.32211645719741205,0.6765219474903257,0.39483166340289266,0.3532932998159198,0.7076987901088334
28774,SIFA,explore,10,S0,1.0615555516180268,1.2557871745482836,0.6316413485719282,2,1.429171313320675,0.0,1.0615555516180268,2.6849584878689585,1.5864142089020186,0.07675752205134143,0.010176099730093187,0.398062161628356,0.05774027126543049,0.326902374984349,0.04890261450343183,0.04913765676431031,0.013254754566731185,0.14905896870907745,0.025477659431000995,8.131586256595245e-05,8.024921625562825e-06,0.724964536612705,0.07024363423537845,0.05464185296669222,0.3634179988690977,0.29756080628228987,0.6466748838577658,0.3880032708514802,0.32214607826467234,0.6712601558401483
37522,SIFA,explore,11,S0,0.2792507856379878,1.508512639770334,0.4433606031487232,1,4.200224386840825,0.0,0.2792507856379878,1.508512639770334,0.6688150738260479,0.17275497446005553,0.03423070066877129,0.39105576899086697,0.03488619049968759,0.3847941738696143,0.06138203730646373,0.020513476682692863,0.001899463176342617,0.030839656538774143,0.004271396145067932,4.194945799610163e-05,2.512689540724689e-06,0.7758499428604813,0.033595509909577784,0.09739830739210165,0.3701240546910544,0.34796495148573603,0.7199196115873089,0.38188248315940665,0.35972337995408826,0.7316780400556611
21962,SIFA,explore,12,S0,-0.8660712877186478,3.8867733013871453,0.4277886307992682,1,4.3367003607582,0.0,0.8660712877186478,3.8867733013871453,1.6627174288275584,0.20070678774400053,0.017096448065649947,0.3805700624762316,0.027754117675959873,0.3430420240559153,0.03185253661225779,0.03204274039932372,0.005755657866543245,0.043533677644083335,0.007549367404062251,0.00010470768044556018,0.00014449439255869847,0.7236120865321469,0.04956092024032244,0.10088230611453514,0.3639175918706557,0.3239305020885606,0.6832262837275157,0.38126391395476855,0.34127682417267347,0.7005726058116286
25912,SEFA,explore,1,S0,-0.06221304683504725,0.8784206736940238,0.6031888898280663,1,1.1258577850909606,0.0,0.06221304683504725,0.8784206736940238,0.5298535909675203,0.07597988036939729,0.012646620924686559,0.2200931119981465,0.01919842621199803,0.6412808980419727,0.03068303838638313,0.01792577777201645,0.0008163153224672604,0.04467965542553076,0.00312017017163018,4.0676392936427084e-05,1.3640585046290897e-06,0.8613740100401193,0.08363265062244582,0.04182259039275216,0.20857405627094766,0.6228710750101428,0.7818425271844129,0.2378454839888037,0.6521425027279989,0.811113954902269
