pipeline,experiment_id,pair_id,campaign_arm,key_id,session_id,target_sbox,target_sbox_index,p_clean_target_ineffective,healthy_ciphertext_hex
random_raw,585,292,random_uniform,0,0,S0,0,0.0003452547747273,6f3b2ca22f601f92
random_raw,593,296,random_uniform,0,0,S0,0,0.0008571609094722,553234fc41b01d75
random_raw,599,299,random_uniform,0,3,S0,0,0.0002149578241446,937277eda801ca4e
random_raw,615,307,random_uniform,0,3,S0,0,0.0804580139825806,e0fb05eefc32a0d7
random_raw,621,310,random_uniform,0,2,S0,0,0.0032357256336428,6bb8c44b2fca9695
random_raw,639,319,random_uniform,0,3,S0,0,3.154237343153909e-06,d6c89bba0ed66987
random_raw,659,329,random_uniform,0,1,S0,0,6.157871446365689e-06,c000e24d1269bafe
random_raw,671,335,random_uniform,0,3,S0,0,0.0361063050797513,28fd0c823a0dc5d5
random_raw,693,346,random_uniform,0,2,S0,0,7.458536795009432e-06,f4234cd924116e6d
random_raw,707,353,random_uniform,0,1,S0,0,0.0047554615597255,135d22a492cadeda
random_raw,719,359,random_uniform,0,3,S0,0,7.487069097158222e-07,42c52005b38e27e2
random_raw,723,361,random_uniform,0,1,S0,0,0.0007295478935052,d6fa17ed3973881d
random_raw,729,364,random_uniform,0,0,S0,0,0.0008935747518122,8f122921c4148adb
random_raw,731,365,random_uniform,0,1,S0,0,2.9908123190352837e-06,675a08951264553b
random_raw,733,366,random_uniform,0,2,S0,0,0.5934259566766364,75c71556dca27f89
random_raw,743,371,random_uniform,0,3,S0,0,0.001363284322725,af2902641b2a7c00
random_raw,759,379,random_uniform,0,3,S0,0,8.539704947511142e-07,de4fc52d6f7d51b0
random_raw,763,381,random_uniform,0,1,S0,0,0.0033971120260027,67846f029d6f3892
random_raw,765,382,random_uniform,0,2,S0,0,1.577556553632864e-09,78f6380e7edfeb8c
random_raw,775,387,random_uniform,0,3,S0,0,0.0001357736765599,7e6a5017f7c45b4b
random_raw,779,389,random_uniform,0,1,S0,0,0.0006822518134115,4141feadfb874335
