campaign_arm,key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi
random_uniform,0,S0,0,0.05,0,0,36,0.020833333333333332,12.0
random_uniform,0,S0,0,0.05,1,1,36,0.02700617283950617,15.555555555555555
random_uniform,0,S0,0,0.05,2,2,36,0.019290123456790122,11.11111111111111
random_uniform,0,S0,0,0.05,3,3,36,0.016203703703703703,9.333333333333332
random_uniform,0,S0,0,0.05,4,4,36,0.03780864197530864,21.77777777777778
random_uniform,0,S0,0,0.05,5,5,36,0.03780864197530864,21.77777777777778
random_uniform,0,S0,0,0.05,6,6,36,0.028549382716049385,16.444444444444446
random_uniform,0,S0,0,0.05,7,7,36,0.039351851851851846,22.666666666666664
random_uniform,0,S0,0,0.05,8,8,36,0.023919753086419752,13.777777777777777
random_uniform,0,S0,0,0.05,9,9,36,0.014660493827160495,8.444444444444445
random_uniform,0,S0,0,0.05,10,a,36,0.03626543209876543,20.888888888888886
random_uniform,0,S0,0,0.05,11,b,36,0.04243827160493827,24.444444444444446
random_uniform,0,S0,0,0.05,12,c,36,0.034722222222222224,20.0
random_uniform,0,S0,0,0.05,13,d,36,0.020833333333333336,12.000000000000002
random_uniform,0,S0,0,0.05,14,e,36,0.034722222222222224,20.0
random_uniform,0,S0,0,0.05,15,f,36,0.0316358024691358,18.222222222222218
random_uniform,0,S0,0,0.075,0,0,53,0.011903702385190462,10.094339622641511
random_uniform,0,S0,0,0.075,1,1,53,0.020447668209327162,17.339622641509433
random_uniform,0,S0,0,0.075,2,2,53,0.011903702385190462,10.094339622641511
random_uniform,0,S0,0,0.075,3,3,53,0.014039693841224634,11.90566037735849
random_uniform,0,S0,0,0.075,4,4,53,0.027567639729441085,23.377358490566042
random_uniform,0,S0,0,0.075,5,5,53,0.024007653969384122,20.358490566037734
random_uniform,0,S0,0,0.075,6,6,53,0.016887682449270205,14.320754716981135
random_uniform,0,S0,0,0.075,7,7,53,0.03397561409754361,28.811320754716984
random_uniform,0,S0,0,0.075,8,8,53,0.0083437166251335,7.0754716981132075
random_uniform,0,S0,0,0.075,9,9,53,0.015463688145247418,13.11320754716981
random_uniform,0,S0,0,0.075,10,a,53,0.02685564257742969,22.77358490566038
