experiment_id,target_sbox,target_sbox_index,key_id,session_id,source_healthy_trace_id,fault_model,nominal_target_center_sample,timing_offset_samples,first_pulse_nominal_sample,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance,trace_mean,trace_std,trace_peak_to_peak,trace_max_absolute,trace_high_frequency_energy,target_window_energy,pulse_window_energy,saturation_fraction
0,S0,0,0,0,799,random_and_4,4083.0,29.492535547259056,4112.492535547259,1.808517370074491,0.2472218050858117,1,1.483573314751479,23d7755d91fd97f0,8ff9ce5037db1772,True,8ff9ce5037db1772,True,0,-0.023810847964439844,0.8106611380314429,4.681437730789185,2.36053729057312,0.544300268561251,0.3841174392616111,0.622211325536533,0.0
1,S5,5,0,0,101,random_and_4,4128.0,18.446565825713645,4146.446565825714,1.9504655635286603,0.2841431795454509,1,1.6675185497750635,6803244bbab52a52,21cb08c87ba0db7d,True,21cb08c87ba0db7d,True,0,-0.010208353834428094,1.0342922257359408,9.074162483215332,6.546314716339111,1.296420187251962,5.349494929559014,0.3049652508888875,0.006756756756756757
2,S0,0,1,0,250,random_and_4,4083.0,-26.305590920783644,4056.6944090792163,1.81734978523485,0.1231452496710492,1,2.3721899146106273,ed73dd73677ac107,6d3e1d56809d005d,True,6d3e1d56809d005d,True,0,-0.003989559315094674,1.0662216956332453,6.414706468582153,3.5085363388061523,1.3308563573749472,1.3132092238779884,0.491234211868934,0.0
3,S5,5,1,0,963,random_and_4,4128.0,22.84630704719333,4150.8463070471935,0.6498977306778623,0.3895354205975137,1,1.5147885826584628,ec0eeade0f730cd0,7d2ca8a81d9329f2,True,7d2ca8a81d9329f2,True,0,0.21923207278942336,1.375559757272502,8.439737558364868,4.884231090545654,1.4653097351532736,1.7126154182843463,3.7511672659152486,0.02027027027027027
4,S0,0,2,0,109,random_and_4,4083.0,6.245850370102113,4089.2458503701023,2.5929399339947836,0.7644743299964972,1,3.0485149588648914,9e1391bb5870e81c,aeb8c8c31f4d906f,True,aeb8c8c31f4d906f,True,0,0.19158397842123098,0.932140650669126,4.175225138664246,2.566882371902466,0.8788756206917923,1.1726006885741431,0.982196149517983,0.0
5,S5,5,2,0,944,random_and_2,4128.0,0.2007018383994703,4128.200701838399,3.326629521377834,0.3802535302003463,1,4.66870021296954,1e72ec796d31a1d3,17495f6c5fae2b63,True,17495f6c5fa82b63,False,2,0.2943322800062093,1.2230531831329063,6.362457036972046,4.328540325164795,0.8953563229459652,2.8941133826212275,3.8037598669126114,0.013513513513513514
6,S0,0,3,0,927,random_and_4,4083.0,-3.221547977870759,4079.7784520221294,4.294899160824052,0.4003969125378719,1,3.402410455412344,345855aa19f31334,ba40440bbb212b26,True,ba40440bbb212b26,True,0,0.12370540344036764,1.040609306528043,5.554418206214905,3.5668444633483887,1.402700478821798,0.8239718426414449,0.5263508642815886,0.0
7,S5,5,3,0,647,random_nibble,4128.0,6.173921561195307,4134.173921561195,3.480115200226533,0.4593529212826687,1,3.815625601202984,a50f3144245d4731,5715c45a9bdcb809,True,5715c45a0bdcb809,False,2,0.19031469756658692,1.0831811804068399,5.592076420783997,3.6853551864624023,0.8107715162464657,1.9361222679852543,0.5924910391084521,0.0
8,S0,0,4,0,528,random_and_2,4083.0,-2.8017355862603965,4080.1982644137397,1.039184493304885,1.0140500895787457,1,3.9309466711311805,8e66ca04197b431b,e9e00700ee4e64e0,True,e9e00700ee4e64e0,True,0,0.03276195536159936,1.0624056471401617,4.691766619682312,2.8271143436431885,0.6271186652959058,1.1578013730666763,0.9491805782265617,0.0
9,S5,5,4,0,640,random_nibble,4128.0,-4.849880377730432,4123.15011962227,1.6305395246241465,0.4946948660846199,1,3.5269589529213166,295ebed41e5a019d,3f4b107a54c3b29f,True,3f4b107a54c3b29f,True,0,0.02154545848434036,0.9201824217192771,5.379775285720825,2.9595887660980225,0.7751598933439403,0.5806542978910335,0.6392914766423675,0.0
10,S0,0,5,0,754,random_and_4,4083.0,4.835625605983614,4087.8356256059838,1.8506983305685196,0.32799627063625586,1,4.175081773566813,54f082ee7cfd95c1,185ce4d9d1314fd5,True,185ce4d9d1314fd5,True,0,0.00886718588692413,1.0821793871355403,5.862569570541382,3.2558603286743164,0.6775292995912267,0.6428153291031712,1.003118520878337,0.0
11,S5,5,5,0,980,random_and_4,4128.0,-0.00477499733891662,4127.995225002661,1.1526135789351644,0.997073406228494,1,3.4882834275191303,8d577c842428503b,be0dc3b440250464,True,be0dc3b4402a0464,False,4,0.12394630979916484,1.2334744695084154,7.808303594589233,4.740297317504883,1.1267079996857994,6.665566295479385,8.596906970414425,0.013513513513513514
12,S0,0,6,0,22,random_and_4,4083.0,-5.3295673088216144,4077.6704326911786,1.4122545278511076,1.0658200547463237,1,2.164965630763937,967a7eb0e3a17d56,f7936e7ec3043767,True,f7936e7ec3043767,True,0,-0.10632571335756094,0.9286121133544304,4.499403953552246,2.364088773727417,1.1773448123501447,1.6940978644509825,1.468192585081821,0.0
13,S5,5,6,0,839,random_and_4,4128.0,-10.454600692417877,4117.545399307583,3.9082732813939534,0.4085921123701938,2,5.2000206377722265,f2092e74446eeb8b,a73ca37cd099801e,True,a73ca37cd999801e,False,2,0.04676742303008969,0.9165914369990107,5.307355880737305,3.1737923622131348,1.60335731002067,0.2219499228837451,1.0978049468002469,0.0
14,S0,0,7,0,469,random_and_4,4083.0,8.493215832894364,4091.4932158328943,2.75980141310563,0.417731698391937,2,3.2747539272889927,f662e31ff83a92be,3f0348cf8c9c97f5,True,3f0348cf8c9c97ff,False,2,0.16836217880827953,1.1222873068606847,6.155690670013428,3.9129879474639893,1.2686568296089986,1.3345262160362006,2.6965423820743775,0.0
15,S5,5,7,0,368,random_and_4,4128.0,13.001889382173278,4141.001889382173,3.858451633720529,0.6978547384746692,1,1.562366882709434,38f6fca54af062c4,0f90af4606bb24e8,True,0f90af4606bb24e8,True,0,-0.037394804225580114,0.9271713589602726,4.66663384437561,2.5309410095214844,1.0664836529970112,0.27447192169047435,1.4533405383952407,0.0
16,S0,0,0,1,322,random_and_2,4083.0,2.483718977886646,4085.483718977887,8.604406639097995,0.9608548769164332,2,3.5421885383880287,32335f940f57a98d,637888f7696fbdba,True,637888f7696ebfba,False,2,0.17910468529255405,1.1236127581786644,6.490380764007568,3.954793691635132,1.7024310564538356,4.390632659980509,4.361859961126565,0.0
17,S5,5,0,1,174,random_and_2,4128.0,-3.52584582423399,4124.474154175766,9.845903738869906,1.1734030502725705,3,8.961094955836437,0dfd3c1046643882,da9291e527a8d49a,False,,,-1,0.28889074434809536,0.9215768215903437,6.213212728500366,4.149755001068115,1.1762528574503652,3.843946408388149,1.7299198505494153,0.006756756756756757
18,S0,0,1,1,522,random_and_4,4083.0,0.10026242011436537,4083.100262420114,11.850568389054343,1.180889355591901,3,6.341636721107185,d0d34d1c5784c781,2e69dec6509ea785,False,,,-1,0.2274612917956531,0.8027959407730462,6.249389171600342,4.28109884262085,0.3074575336377997,5.818695855581976,3.16991623431237,0.006756756756756757
19,S5,5,1,1,680,random_and_4,4128.0,-0.805484929797391,4127.194515070202,12.472570403922303,1.626130752680794,3,8.19944344629774,bfc16482971ae51f,4ad18a6cb9294810,False,,,-1,0.29677552069266755,0.8973686181083742,5.5179283618927,3.440471649169922,0.6672954747665881,4.4792341054525275,2.817695741457523,0.0
20,S0,0,2,1,432,random_and_4,4083.0,-27.364786123353582,4055.6352138766465,1.601472713909807,0.11078516390903229,1,1.1394511985018438,2b9f64ee5c08c82c,79ad6b6b41662c0e,True,79ad6b6b41662c0e,True,0,0.06613189606247721,1.0633298190929792,7.157198667526245,3.946333408355713,0.7847750812903498,0.4068738762591078,0.37080215074280765,0.0
21,S5,5,2,1,312,random_and_2,4128.0,18.646233828844213,4146.646233828844,0.8591163042578049,0.23063567311394884,1,1.288515940250865,1709a62e96a604b5,be04c93ba1eb1180,True,be04c93ba1eb1180,True,0,0.08588141254998895,1.1112710475604406,5.916653394699097,2.9649064540863037,1.036819352942263,1.3390851644106392,3.030656609361703,0.0
22,S0,0,3,1,745,random_and_4,4083.0,-17.951293202626378,4065.0487067973736,0.9679439964238159,0.13375189809721869,1,1.4662033485424475,979d7908e8af033a,3a4987c4d3179a7d,True,3a4987c4d3179a7d,True,0,-0.04649188291168193,0.9457584851959239,4.500686883926392,2.3069074153900146,1.7801993057406635,0.9765294026746439,0.7479775812569903,0.0
23,S5,5,3,1,7,random_and_4,4128.0,24.028314083118225,4152.028314083118,1.2657188025451478,0.38715364569397276,1,1.3905077532463832,d9e7565760cfc1a7,1a3914c0e117d2c5,True,1a3914c0e117d2c5,True,0,-0.11604474431117745,1.0905219061269391,5.768660545349121,3.1513099670410156,0.9283371106535936,1.8742922671748068,0.9116496460301559,0.0
24,S0,0,4,1,397,stuck_at_bit,4083.0,3.280059758307326,4086.2800597583073,3.8215513556575074,0.9208347229323259,1,4.0656509678871195,e919ca40d1ade02a,58d694a68453b0f5,True,58d694a68453b1f5,False,1,0.09552291927015963,0.9122693031890695,4.682628631591797,2.582909345626831,1.6135799684030225,1.1092075942477198,1.6607543209936266,0.0
25,S5,5,4,1,756,random_nibble,4128.0,-4.707166358532931,4123.292833641467,3.6230782366551515,0.9123770082782927,2,4.601992236370242,4065adcfdd10cc90,5d4a215a9054b5f1,True,5d4a215a905ab5f1,False,3,0.07447600610415779,0.9427798216618133,5.293594717979431,3.408188581466675,1.1244304511294598,2.608740578800878,2.12516069209824,0.0
26,S0,0,5,1,949,random_and_4,4083.0,4.194132458483635,4087.1941324584836,4.243240529493248,0.35796737453832417,2,4.222473814031892,36f96419d6eb6f98,2471757a50a1afb4,True,2471757a50a1afb4,True,0,0.13840044559470402,1.0766734622889176,6.366293668746948,3.4038901329040527,1.1002373413554578,1.2125006656225188,1.145321526860907,0.0
27,S5,5,5,1,773,random_and_4,4128.0,-4.555480528589614,4123.444519471411,2.427988931091651,0.8448991254161804,1,3.422518420722616,f65e799d7acf933b,498b9673cef82a48,True,498b9673cef82a48,True,0,0.14723496745982384,1.123556453959068,7.074256658554077,4.288065433502197,0.7750797152653733,1.8285521242038418,1.239295867266435,0.013513513513513514
28,S0,0,6,1,114,stuck_at_bit,4083.0,2.1267530391468163,4085.126753039147,4.515598416682446,0.5273085134626136,1,3.3840216750820398,0721d0f37ef61891,5ee03e281bcb08cf,True,5ee03e281bcb03cf,False,3,0.023499487317953812,1.1489144000603417,6.918898820877075,4.305232048034668,0.8812254681776208,4.10506537333552,4.436750857733008,0.006756756756756757
29,S5,5,6,1,371,random_and_4,4128.0,-4.269177081698996,4123.730822918301,2.350557151986263,0.3184108364286814,1,4.360135304295618,a459083761df0f4c,bd0bc18019f522c3,True,bd0bc180190522c3,False,4,0.15826901229022927,1.1265016071203993,7.0497496128082275,4.536439895629883,1.5364390318620096,0.6770994808503761,0.6944556416663412,0.013513513513513514
30,S0,0,7,1,742,random_and_4,4083.0,1.4989470105970408,4084.498947010597,0.9506432518536654,0.6856574933295416,1,3.435169610746504,136f5c517f7b4249,34741e0109db93c3,True,34741e0109db92c3,False,1,-0.18183084186544088,0.9599942843450668,4.72582221031189,2.3719851970672607,1.0913493682608761,1.1803444294865943,0.8148727740251852,0.0
31,S5,5,7,1,617,stuck_at_bit,4128.0,-1.7806974168505114,4126.219302583149,2.126262757406452,0.3938413868146041,1,2.460209220574211,5b8dec75399694ba,737a889bf83f1e0a,True,737a889bf83a1e0a,False,2,0.06098405069142983,0.8956487869365525,4.041934132575989,2.1391971111297607,0.7572318645593342,0.9202955500434004,1.1254173146866813,0.0
32,S0,0,0,2,702,random_and_2,4083.0,3.6222884119471157,4086.622288411947,4.236840914478979,0.37475839676883277,1,3.82000903724252,a6d2f24c5d053bdb,eb496dd445b4ec6c,True,eb496dd445b4ea6c,False,2,0.09296517992215986,1.1715434898618562,6.91315221786499,3.988095760345459,1.7162919029861745,5.436289767281204,5.874829434736181,0.0
33,S5,5,0,2,214,random_and_4,4128.0,11.423632988690978,4139.423632988691,2.507434426025964,1.1178302902797919,2,3.8171219974007227,546a495e8f2d59da,33e760bb03f22db9,True,33e760bb23f22db9,False,1,0.07868195159873623,1.1145164319944767,9.79578447341919,6.553717136383057,1.64333714321577,0.9295072141725751,2.5237294934692636,0.006756756756756757
34,S0,0,1,2,535,random_and_4,4083.0,6.901745137629042,4089.901745137629,2.080343112163642,0.4011317995733984,2,2.166244696151039,4b54d9e0affba427,0c15cb11affb47a2,True,0c15cb11affb47a2,True,0,0.006269548631796686,0.9504836452686218,5.4644036293029785,2.9688684940338135,0.7024826922684937,0.7808968611179303,0.8013087105888257,0.0
35,S5,5,1,2,457,stuck_at_bit,4128.0,-7.701739963681552,4120.298260036318,3.238579603702196,0.41125219764146015,1,3.59624852298091,25a129c37881bdb9,1f53ab72b51e940e,True,1f53ab72b01e940e,False,2,-0.04730937914998346,1.1135161567504195,6.4037768840789795,3.497978448867798,0.8378011822251442,0.9366073763282908,3.8202055102369794,0.0
36,S0,0,2,2,392,random_and_4,4083.0,5.275939447778336,4088.2759394477785,11.238128427713596,0.5308733563842392,3,5.811955763623518,ee3d332f14ab9062,2260056c745f03e3,True,2260056c785f9be8,False,8,0.16238680560884342,0.9120166735402395,4.585079908370972,2.442891836166382,0.7230409404224687,0.3893450483604719,0.6740329754429464,0.0
37,S5,5,2,2,1003,random_and_4,4128.0,-4.810531353139918,4123.18946864686,13.314267119247416,1.0268339243719737,1,8.283387015791078,e926044168f9b647,04c90830e5c771a8,True,04c90830e56771a8,False,2,0.06006284721032087,1.2103734723696011,7.552704095840454,5.094697952270508,0.9675230836165033,1.4163365090818845,1.4110274251020452,0.006756756756756757
38,S0,0,3,2,459,random_and_4,4083.0,7.740414043262062,4090.7404140432623,12.361373492056517,1.2412638708161217,3,8.340749655047619,8878ee76c1db8dc7,d89daaff307e2303,False,,,-1,-3.2423448944716036,2.395881725762009,8.807629823684692,4.953513145446777,0.7188126293390297,0.69796632066323,18.465667504800976,0.7027027027027027
39,S5,5,3,2,167,random_and_2,4128.0,-6.011936367047369,4121.988063632953,9.26264634580062,1.5691784407092277,4,4.627698007746562,7c8f1e7f6c138120,34da57e94b6d9411,False,,,-1,0.2635463216622058,1.2298605290201168,8.459266185760498,6.447787284851074,0.4926656771721858,12.362482949153064,7.9461583441769355,0.02027027027027027
40,S0,0,4,2,876,single_bit_flip,4083.0,20.93739749274224,4103.937397492742,1.823037277499172,0.3900544131484568,1,1.4699887604925106,dc0d222b05318872,6ecfa7e38461fec1,True,6ecfa7e38461fec1,True,0,0.05518386324527799,1.036507991068451,5.958500623703003,3.5711865425109863,1.009729073251886,1.0640601175721025,1.249797476907136,0.0
41,S5,5,4,2,27,random_and_4,4128.0,24.948818331183297,4152.948818331183,1.4491382358569243,0.18847552283446833,1,1.5651488011397925,7ca4f45b231e31a3,719c020f45ab3be3,True,719c020f45ab3be3,True,0,0.004135475223380569,1.0874529142564613,6.148013114929199,3.15413761138916,0.8248283896023167,1.4011231557937118,0.3190972532836387,0.0
42,S0,0,5,2,866,random_nibble,4083.0,-20.658446856705226,4062.3415531432947,1.8586248028933274,0.09515886632262736,1,1.2752788512368292,ff14b201b4f48d59,fcebc5de76c293f5,True,fcebc5de76c293f5,True,0,0.014953421649044833,1.0225760466336857,5.025651454925537,2.934641122817993,1.4913597546397896,0.7484272180459306,0.17324299443687727,0.0
43,S5,5,5,2,633,stuck_at_bit,4128.0,-18.39356487863465,4109.606435121365,1.0807662836453273,0.10906841125876258,1,1.17775294416077,2f5aacb333ee77fa,4d58ee21596cece4,True,4d58ee21596cece4,True,0,0.12214775418082403,1.08137878947542,7.264052391052246,4.234134674072266,1.4622141569833305,0.8996953159604857,1.4646769445151349,0.006756756756756757
44,S0,0,6,2,340,random_and_4,4083.0,6.270691359984395,4089.2706913599845,3.511043531860604,1.0636629626589806,1,3.400148210422403,3959c95bb3ce6752,7fcf57fa74972fbd,True,7fcf57fa74972fbb,False,2,0.197087279574417,1.071130961614672,5.110827207565308,2.951929807662964,0.6721249330618216,1.2024280099010167,1.4620665873212109,0.0
45,S5,5,6,2,379,random_and_4,4128.0,2.825988855726962,4130.825988855727,4.015959685693881,0.6834048620089617,1,2.0517583982570033,2045ef6485890570,f096d0d6ce857393,True,f096d0d6ce877393,False,1,-0.02311385082036911,1.096780410069959,5.477519512176514,3.062788486480713,2.0869463966515758,0.8209957544167229,1.1080797235532882,0.0
46,S0,0,7,2,175,random_and_2,4083.0,-0.8221924356021573,4082.177807564398,2.0874741776029238,0.5543034284019568,1,4.467242181939621,23813df55bf76018,318ea3d304c701e2,True,318ea3d304c701e2,True,0,-0.06404818205565617,1.1023055779868103,6.128465890884399,3.12593412399292,1.5440929585099987,0.7344648658327333,0.9340144927299516,0.0
47,S5,5,7,2,132,random_and_4,4128.0,0.02088185835024703,4128.020881858351,2.219183219015379,0.5451473307384794,1,3.7865381154819273,ec912003dd9536ec,e3ce641bcffceed6,True,e3ce641bcff2eed6,False,3,-0.0891931855994453,1.1769816922143355,7.178308725357056,4.044910907745361,1.2886445893276237,4.332811230314558,5.579720576043304,0.006756756756756757
