actual_clean_count,actual_clean_precision,actual_clean_recall,attack_type,mean_bootstrap_true_winner_fraction,mean_joint_true_rank,mean_loso_consensus,mean_observable_events_per_task,mean_score_margin,mean_selected_ciphertexts_per_task,mean_true_rank,median_first_injection_checkpoint_rank1,median_selected_ciphertexts_at_first_rank1,median_true_rank,pipeline,rank1_joint_8bit_count,rank1_nibble_count,rank1_nibble_success_rate,task_count
3042,0.5799568956631946,0.4003687195992635,SIFA,1.0,1.0,1.0,3294.75,0.005046302026287118,1318.0,1.0,1750.0,287.5,1.0,sifa_guided_budget,2,4,1.0,4
7596,0.579088143292585,1.0,SIFA,1.0,1.0,1.0,3294.75,0.005752178821567498,3294.75,1.0,375.0,159.5,1.0,sifa_guided_raw,2,4,1.0,4
7596,0.579088143292585,1.0,SIFA,1.0,1.0,1.0,3294.75,0.005752178821567498,3294.75,1.0,375.0,159.5,1.0,sifa_guided_threshold,2,4,1.0,4
444,0.15729184368087024,0.8647531963815713,SIFA,0.455,2.0,0.875,1725.75,0.0011514403790978036,690.5,1.5,3000.0,229.0,1.0,sifa_random_budget,1,3,0.75,4
521,0.07341732637991637,1.0,SIFA,0.0875,26.5,0.4375,1725.75,0.00012764045647176866,1725.75,3.5,,,3.5,sifa_random_raw,0,0,0.0,4
220,0.5561470894452725,0.4496903398463016,SIFA,0.4191666666666667,3.5,0.75,1725.75,0.009139317905435672,98.75,1.5,5000.0,59.0,1.5,sifa_random_threshold,0,2,0.5,4
